Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,27.0,-94.0,-5.0,9.87,82323,0.78,0.88,0.91
1a,39.0,-43.0,-20.0,9.56,,,,
1b,-24.0,-97.0,-8.0,9.20,,,,
1c,-39.0,-46.0,-20.0,9.05,,,,
2,-18.0,-4.0,-17.0,8.23,7668,0.44,0.53,0.48
2a,-27.0,11.0,-26.0,6.03,,,,
2b,-30.0,2.0,-23.0,5.98,,,,
3,18.0,-4.0,-14.0,7.95,11502,0.47,0.54,0.52
3a,33.0,-7.0,-32.0,6.27,,,,
3b,33.0,5.0,-20.0,6.10,,,,
3c,6.0,-1.0,-17.0,4.08,,,,
4,45.0,29.0,19.0,5.76,9774,0.49,0.60,0.58
4a,36.0,11.0,31.0,4.79,,,,
5,-33.0,-7.0,-32.0,5.37,1377,0.20,0.31,0.00
6,51.0,-7.0,-14.0,5.11,1080,0.10,0.28,0.00
7,-39.0,-37.0,43.0,5.11,5454,0.11,0.22,0.12
7a,-45.0,-40.0,25.0,3.50,,,,
7b,-60.0,-34.0,31.0,3.47,,,,
7c,-54.0,-37.0,22.0,3.25,,,,
8,33.0,38.0,-11.0,5.01,1431,0.15,0.28,0.00
9,-42.0,26.0,16.0,4.98,4644,0.08,0.16,0.08
9a,-39.0,14.0,28.0,4.76,,,,
9b,-54.0,32.0,19.0,4.36,,,,
9c,-54.0,20.0,31.0,3.45,,,,
10,-45.0,-67.0,1.0,4.79,1512,0.09,0.21,0.00
11,57.0,-22.0,34.0,4.40,1728,0.00,0.00,0.00
11a,39.0,-34.0,43.0,3.25,,,,
12,-33.0,32.0,-14.0,4.11,540,0.00,0.00,0.00
13,60.0,-28.0,16.0,4.07,1053,0.00,0.00,0.00
14,24.0,-64.0,-23.0,4.01,783,0.00,0.00,0.00
15,-48.0,47.0,4.0,3.93,810,0.00,0.00,0.00
16,-9.0,-79.0,-38.0,3.86,459,0.00,0.00,0.00
17,-60.0,-46.0,-8.0,3.78,432,0.00,0.00,0.00
18,-15.0,-31.0,-5.0,3.67,351,0.00,0.00,0.00
19,12.0,-31.0,-2.0,3.62,135,0.00,0.00,0.00
20,63.0,-7.0,1.0,3.59,378,0.00,0.00,0.00
20a,66.0,-16.0,1.0,3.24,,,,
21,0.0,50.0,-14.0,3.53,189,0.00,0.00,0.00
22,18.0,-67.0,-44.0,3.49,162,0.00,0.00,0.00
23,-18.0,-55.0,-2.0,3.48,162,0.00,0.00,0.00
24,-15.0,-64.0,52.0,3.47,378,0.00,0.00,0.00
25,12.0,-70.0,10.0,3.45,378,0.00,0.00,0.00
26,0.0,-73.0,-26.0,3.43,81,0.00,0.00,0.00
27,-3.0,38.0,10.0,3.32,81,0.00,0.00,0.00
28,-24.0,41.0,25.0,3.30,135,0.00,0.00,0.00
29,57.0,-40.0,-11.0,3.30,243,0.00,0.00,0.00
30,3.0,-67.0,34.0,3.30,162,0.00,0.00,0.00
31,-57.0,20.0,22.0,3.27,27,0.00,0.00,0.00
32,-24.0,-10.0,55.0,3.26,108,0.00,0.00,0.00
33,-33.0,-52.0,61.0,3.24,189,0.00,0.00,0.00
34,-36.0,-43.0,-44.0,3.22,27,0.00,0.00,0.00
35,3.0,59.0,-8.0,3.21,54,0.00,0.00,0.00
36,36.0,-64.0,43.0,3.20,189,0.00,0.00,0.00
37,-42.0,-52.0,-38.0,3.19,27,0.00,0.00,0.00
38,39.0,-52.0,-41.0,3.13,54,0.00,0.00,0.00
39,63.0,-40.0,-2.0,3.09,27,0.00,0.00,0.00
40,-3.0,44.0,-2.0,3.09,54,0.00,0.00,0.00
41,42.0,8.0,46.0,3.06,27,0.00,0.00,0.00
42,60.0,-40.0,1.0,3.00,27,0.00,0.00,0.00
43,30.0,-61.0,-5.0,3.00,27,0.00,0.00,0.00
44,42.0,-16.0,52.0,3.00,27,0.00,0.00,0.00
