Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,39.0,-82.0,19.0,9.73,162702,0.87,0.94,0.96
1a,-45.0,-67.0,-2.0,9.67,,,,
1b,-39.0,-85.0,10.0,8.93,,,,
1c,-9.0,-73.0,16.0,8.48,,,,
2,-15.0,-94.0,-8.0,6.45,2484,0.42,0.47,0.26
3,21.0,-91.0,-8.0,6.15,1836,0.31,0.41,0.13
4,-3.0,41.0,-17.0,5.32,6561,0.26,0.42,0.42
4a,-3.0,44.0,-26.0,4.78,,,,
4b,-6.0,53.0,-11.0,4.62,,,,
4c,9.0,47.0,-11.0,3.52,,,,
5,33.0,29.0,-17.0,4.85,1755,0.05,0.09,0.00
5a,21.0,32.0,-14.0,4.13,,,,
6,-27.0,26.0,55.0,4.69,1404,0.00,0.02,0.00
7,15.0,-46.0,-50.0,4.62,513,0.00,0.05,0.00
8,12.0,-7.0,25.0,4.32,108,0.00,0.00,0.00
9,0.0,5.0,-11.0,4.25,702,0.00,0.00,0.00
10,-24.0,5.0,-47.0,4.15,837,0.00,0.00,0.00
11,-51.0,-67.0,37.0,4.12,1458,0.00,0.00,0.00
11a,-45.0,-70.0,46.0,3.40,,,,
12,18.0,-7.0,-17.0,4.09,297,0.00,0.00,0.00
13,-33.0,11.0,-29.0,4.01,1431,0.00,0.00,0.00
13a,-21.0,11.0,-32.0,3.91,,,,
14,15.0,-73.0,-44.0,4.00,1134,0.00,0.00,0.00
14a,3.0,-67.0,-35.0,3.79,,,,
14b,0.0,-76.0,-32.0,3.19,,,,
15,60.0,-22.0,40.0,3.98,729,0.00,0.00,0.00
16,-15.0,-46.0,-50.0,3.97,135,0.00,0.00,0.00
17,-42.0,2.0,28.0,3.93,594,0.00,0.00,0.00
18,-33.0,-49.0,46.0,3.93,1296,0.00,0.00,0.00
19,3.0,59.0,22.0,3.90,216,0.00,0.00,0.00
20,27.0,-43.0,10.0,3.84,81,0.00,0.00,0.00
21,-3.0,-43.0,-38.0,3.82,108,0.00,0.00,0.00
22,51.0,-10.0,-17.0,3.78,297,0.00,0.00,0.00
23,-6.0,17.0,-17.0,3.69,189,0.00,0.00,0.00
24,0.0,56.0,37.0,3.66,621,0.00,0.00,0.00
24a,-6.0,62.0,34.0,3.53,,,,
24b,0.0,56.0,25.0,3.15,,,,
25,9.0,23.0,40.0,3.65,243,0.00,0.00,0.00
26,-63.0,-10.0,-20.0,3.65,270,0.00,0.00,0.00
27,-6.0,2.0,22.0,3.60,54,0.00,0.00,0.00
28,-60.0,-28.0,37.0,3.56,999,0.00,0.00,0.00
28a,-45.0,-31.0,37.0,3.44,,,,
29,21.0,-31.0,-35.0,3.56,27,0.00,0.00,0.00
30,39.0,-46.0,-20.0,3.55,216,0.00,0.00,0.00
31,-9.0,-73.0,-50.0,3.53,81,0.00,0.00,0.00
32,45.0,17.0,1.0,3.52,432,0.00,0.00,0.00
33,12.0,23.0,10.0,3.50,27,0.00,0.00,0.00
34,39.0,23.0,-32.0,3.50,243,0.00,0.00,0.00
35,-12.0,14.0,-8.0,3.49,108,0.00,0.00,0.00
36,-3.0,-46.0,-29.0,3.48,81,0.00,0.00,0.00
37,-45.0,38.0,-11.0,3.48,297,0.00,0.00,0.00
38,-12.0,50.0,46.0,3.48,54,0.00,0.00,0.00
39,-9.0,2.0,19.0,3.45,54,0.00,0.00,0.00
40,12.0,11.0,37.0,3.41,135,0.00,0.00,0.00
41,-6.0,14.0,10.0,3.41,81,0.00,0.00,0.00
42,-39.0,8.0,-23.0,3.40,81,0.00,0.00,0.00
43,-9.0,20.0,7.0,3.38,27,0.00,0.00,0.00
44,6.0,-34.0,25.0,3.35,189,0.00,0.00,0.00
45,-15.0,41.0,52.0,3.34,108,0.00,0.00,0.00
46,18.0,-25.0,76.0,3.30,54,0.00,0.00,0.00
47,-6.0,5.0,19.0,3.24,27,0.00,0.00,0.00
48,-18.0,32.0,58.0,3.22,27,0.00,0.00,0.00
49,-48.0,-22.0,7.0,3.21,27,0.00,0.00,0.00
50,0.0,44.0,52.0,3.21,54,0.00,0.00,0.00
51,3.0,65.0,1.0,3.21,108,0.00,0.00,0.00
52,-18.0,-31.0,7.0,3.20,27,0.00,0.00,0.00
53,18.0,44.0,-14.0,3.20,27,0.00,0.00,0.00
54,18.0,-10.0,73.0,3.18,27,0.00,0.00,0.00
55,39.0,11.0,-29.0,3.16,27,0.00,0.00,0.00
56,18.0,38.0,-17.0,3.16,54,0.00,0.00,0.00
57,-42.0,23.0,-23.0,3.13,27,0.00,0.00,0.00
58,-42.0,20.0,52.0,3.12,54,0.00,0.00,0.00
59,30.0,-43.0,-47.0,3.10,54,0.00,0.00,0.00
60,-30.0,-40.0,-50.0,3.09,54,0.00,0.00,0.00
61,-9.0,5.0,22.0,3.09,27,0.00,0.00,0.00
62,-6.0,29.0,-5.0,3.08,54,0.00,0.00,0.00
63,-24.0,-10.0,-20.0,3.07,27,0.00,0.00,0.00
64,-9.0,17.0,10.0,3.06,27,0.00,0.00,0.00
65,30.0,23.0,55.0,3.05,27,0.00,0.00,0.00
66,-45.0,14.0,-32.0,3.04,27,0.00,0.00,0.00
67,-18.0,35.0,55.0,3.03,27,0.00,0.00,0.00
68,48.0,14.0,7.0,3.03,27,0.00,0.00,0.00
69,-21.0,-34.0,7.0,3.02,27,0.00,0.00,0.00
70,30.0,5.0,-29.0,3.01,27,0.00,0.00,0.00
71,45.0,47.0,13.0,3.01,27,0.00,0.00,0.00
