Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,42.0,-58.0,-20.0,10.29,163107.0,6041.0,0.97,0.99,0.99,0.99
1a,-12.0,-103.0,7.0,8.91,,,,,,
1b,18.0,-100.0,10.0,8.41,,,,,,
1c,21.0,-7.0,-17.0,8.31,,,,,,
2,27.0,-1.0,70.0,5.57,24921.0,923.0,0.8,0.92,0.93,0.92
2a,36.0,-40.0,67.0,5.35,,,,,,
2b,36.0,-37.0,55.0,5.32,,,,,,
2c,21.0,-61.0,67.0,4.62,,,,,,
3,48.0,23.0,28.0,5.36,7776.0,288.0,0.43,0.73,0.76,0.76
3a,51.0,32.0,28.0,5.23,,,,,,
3b,48.0,8.0,37.0,4.4,,,,,,
3c,36.0,26.0,22.0,4.33,,,,,,
4,-9.0,-52.0,43.0,5.22,12798.0,474.0,0.62,0.84,0.86,0.85
4a,0.0,-58.0,25.0,4.89,,,,,,
4b,-18.0,-67.0,22.0,4.77,,,,,,
4c,6.0,-49.0,43.0,4.72,,,,,,
5,48.0,-22.0,13.0,5.09,2754.0,102.0,0.12,0.32,0.33,0.38
5a,51.0,-13.0,4.0,4.23,,,,,,
6,-63.0,-31.0,1.0,4.79,648.0,24.0,0.12,0.25,0.0,0.33
7,-3.0,65.0,-14.0,4.79,972.0,36.0,0.06,0.14,0.0,0.19
8,-30.0,-4.0,67.0,4.71,1485.0,55.0,0.11,0.2,0.0,0.22
8a,-39.0,-7.0,64.0,4.24,,,,,,
9,-42.0,-1.0,31.0,4.61,1539.0,57.0,0.12,0.26,0.0,0.3
9a,-48.0,8.0,22.0,4.58,,,,,,
10,-48.0,26.0,40.0,4.43,972.0,36.0,0.0,0.06,0.0,0.08
10a,-39.0,23.0,49.0,4.28,,,,,,
10b,-30.0,26.0,55.0,3.63,,,,,,
11,60.0,-19.0,34.0,4.4,1485.0,55.0,0.0,0.0,0.0,0.0
11a,57.0,-19.0,49.0,4.0,,,,,,
12,30.0,29.0,-20.0,4.24,1107.0,41.0,0.0,0.0,0.0,0.0
12a,39.0,35.0,-20.0,4.09,,,,,,
12b,33.0,32.0,-14.0,3.93,,,,,,
13,-18.0,-85.0,1.0,4.2,27.0,1.0,0.0,0.0,0.0,0.0
14,-27.0,-49.0,67.0,4.12,567.0,21.0,0.0,0.0,0.0,0.0
15,21.0,-67.0,22.0,4.09,1053.0,39.0,0.0,0.0,0.0,0.0
15a,15.0,-79.0,43.0,3.86,,,,,,
16,-30.0,32.0,-20.0,4.08,324.0,12.0,0.0,0.0,0.0,0.0
16a,-39.0,44.0,-20.0,3.98,,,,,,
17,-12.0,17.0,67.0,3.99,729.0,27.0,0.0,0.0,0.0,0.0
18,-39.0,14.0,58.0,3.87,216.0,8.0,0.0,0.0,0.0,0.0
19,-15.0,-55.0,61.0,3.85,270.0,10.0,0.0,0.0,0.0,0.0
20,-9.0,47.0,40.0,3.85,216.0,8.0,0.0,0.0,0.0,0.0
21,-21.0,68.0,-2.0,3.84,54.0,2.0,0.0,0.0,0.0,0.0
22,-21.0,65.0,-11.0,3.82,27.0,1.0,0.0,0.0,0.0,0.0
23,-24.0,68.0,4.0,3.81,27.0,1.0,0.0,0.0,0.0,0.0
24,-48.0,-52.0,-11.0,3.77,81.0,3.0,0.0,0.0,0.0,0.0
25,-39.0,-34.0,10.0,3.74,162.0,6.0,0.0,0.0,0.0,0.0
26,18.0,-31.0,13.0,3.71,27.0,1.0,0.0,0.0,0.0,0.0
27,-42.0,50.0,-17.0,3.69,54.0,2.0,0.0,0.0,0.0,0.0
28,-45.0,-43.0,-38.0,3.68,54.0,2.0,0.0,0.0,0.0,0.0
29,48.0,8.0,13.0,3.67,27.0,1.0,0.0,0.0,0.0,0.0
30,-33.0,62.0,-11.0,3.67,27.0,1.0,0.0,0.0,0.0,0.0
31,-45.0,-52.0,-8.0,3.66,27.0,1.0,0.0,0.0,0.0,0.0
32,-21.0,29.0,55.0,3.64,135.0,5.0,0.0,0.0,0.0,0.0
33,33.0,-22.0,10.0,3.61,54.0,2.0,0.0,0.0,0.0,0.0
34,-18.0,-49.0,-23.0,3.6,27.0,1.0,0.0,0.0,0.0,0.0
35,-63.0,-4.0,-23.0,3.59,27.0,1.0,0.0,0.0,0.0,0.0
36,-36.0,5.0,-35.0,3.58,27.0,1.0,0.0,0.0,0.0,0.0
37,-12.0,44.0,40.0,3.56,54.0,2.0,0.0,0.0,0.0,0.0
38,-24.0,11.0,67.0,3.54,27.0,1.0,0.0,0.0,0.0,0.0
39,-42.0,-40.0,-38.0,3.53,27.0,1.0,0.0,0.0,0.0,0.0
40,-24.0,62.0,1.0,3.53,27.0,1.0,0.0,0.0,0.0,0.0
41,-33.0,62.0,7.0,3.52,54.0,2.0,0.0,0.0,0.0,0.0
42,30.0,-19.0,73.0,3.51,27.0,1.0,0.0,0.0,0.0,0.0
43,36.0,-22.0,46.0,3.51,27.0,1.0,0.0,0.0,0.0,0.0
44,-12.0,-73.0,-41.0,3.51,27.0,1.0,0.0,0.0,0.0,0.0
45,36.0,-19.0,43.0,3.5,27.0,1.0,0.0,0.0,0.0,0.0
