Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,21.0,-94.0,4.0,6.7,13230.0,490.0,0.79,0.86,0.86,0.88
1a,27.0,-88.0,-5.0,6.54,,,,,,
2,-51.0,-37.0,4.0,6.67,2295.0,85.0,0.53,0.61,0.39,0.65
3,-24.0,-88.0,-11.0,6.48,17226.0,638.0,0.79,0.87,0.89,0.89
3a,-21.0,-91.0,4.0,6.34,,,,,,
3b,-12.0,-88.0,-8.0,6.25,,,,,,
4,-60.0,-31.0,25.0,6.13,48006.0,1778.0,0.89,0.95,0.96,0.96
4a,3.0,-67.0,61.0,5.85,,,,,,
4b,-57.0,-37.0,34.0,5.85,,,,,,
4c,-3.0,-55.0,67.0,5.52,,,,,,
5,63.0,-34.0,28.0,5.53,30186.0,1118.0,0.82,0.93,0.93,0.94
5a,51.0,-64.0,40.0,5.46,,,,,,
5b,51.0,-55.0,46.0,5.3,,,,,,
5c,60.0,-22.0,19.0,5.28,,,,,,
6,-54.0,-4.0,49.0,5.48,2646.0,98.0,0.38,0.54,0.36,0.57
7,54.0,11.0,7.0,5.44,2241.0,83.0,0.27,0.37,0.25,0.42
8,51.0,-28.0,4.0,5.25,1242.0,46.0,0.22,0.35,0.0,0.35
9,54.0,-7.0,-11.0,5.1,2673.0,99.0,0.26,0.47,0.33,0.51
10,-54.0,-70.0,1.0,5.08,1296.0,48.0,0.23,0.35,0.0,0.4
11,-54.0,-52.0,-20.0,5.04,3645.0,135.0,0.35,0.59,0.5,0.63
11a,-60.0,-40.0,-14.0,4.77,,,,,,
12,-3.0,-31.0,28.0,5.01,2214.0,82.0,0.3,0.43,0.21,0.45
13,66.0,-37.0,-14.0,4.7,3618.0,134.0,0.16,0.43,0.45,0.5
13a,57.0,-58.0,-20.0,4.46,,,,,,
13b,57.0,-49.0,-29.0,3.91,,,,,,
14,-15.0,-22.0,28.0,4.69,108.0,4.0,0.0,0.25,0.0,0.0
15,-18.0,-31.0,-2.0,4.62,783.0,29.0,0.0,0.03,0.0,0.0
15a,-6.0,-31.0,-5.0,4.17,,,,,,
16,21.0,-28.0,25.0,4.59,27.0,1.0,0.0,1.0,0.0,0.0
17,-45.0,50.0,1.0,4.5,1674.0,62.0,0.0,0.18,0.0,0.27
17a,-42.0,53.0,10.0,4.05,,,,,,
18,-18.0,-28.0,25.0,4.47,27.0,1.0,0.0,0.0,0.0,0.0
19,-21.0,-34.0,22.0,4.44,27.0,1.0,0.0,0.0,0.0,0.0
20,0.0,-76.0,-2.0,4.38,459.0,17.0,0.0,0.12,0.0,0.12
21,-24.0,-52.0,-20.0,4.34,567.0,21.0,0.0,0.0,0.0,0.0
22,57.0,-64.0,4.0,4.32,891.0,33.0,0.0,0.0,0.0,0.0
22a,57.0,-70.0,10.0,4.01,,,,,,
22b,57.0,-67.0,-5.0,3.75,,,,,,
23,-6.0,50.0,-11.0,4.26,243.0,9.0,0.0,0.0,0.0,0.0
24,-54.0,-4.0,-8.0,4.25,1188.0,44.0,0.0,0.0,0.0,0.0
24a,-51.0,-13.0,-14.0,4.12,,,,,,
25,-18.0,14.0,-29.0,4.18,216.0,8.0,0.0,0.0,0.0,0.0
26,-39.0,-67.0,-11.0,4.17,243.0,9.0,0.0,0.0,0.0,0.0
27,48.0,50.0,-11.0,4.14,729.0,27.0,0.0,0.0,0.0,0.0
27a,27.0,50.0,-17.0,4.1,,,,,,
27b,45.0,50.0,-17.0,4.06,,,,,,
28,18.0,-22.0,28.0,4.08,27.0,1.0,0.0,0.0,0.0,0.0
29,3.0,29.0,40.0,4.07,567.0,21.0,0.0,0.0,0.0,0.0
30,9.0,47.0,-11.0,3.97,216.0,8.0,0.0,0.0,0.0,0.0
31,30.0,-13.0,61.0,3.91,378.0,14.0,0.0,0.0,0.0,0.0
32,-33.0,-1.0,10.0,3.91,54.0,2.0,0.0,0.0,0.0,0.0
33,-6.0,5.0,61.0,3.91,135.0,5.0,0.0,0.0,0.0,0.0
34,51.0,-79.0,16.0,3.9,81.0,3.0,0.0,0.0,0.0,0.0
35,-12.0,56.0,40.0,3.89,108.0,4.0,0.0,0.0,0.0,0.0
36,-30.0,-70.0,-29.0,3.87,324.0,12.0,0.0,0.0,0.0,0.0
37,-36.0,62.0,-2.0,3.87,162.0,6.0,0.0,0.0,0.0,0.0
38,15.0,-58.0,31.0,3.83,27.0,1.0,0.0,0.0,0.0,0.0
39,39.0,17.0,43.0,3.82,216.0,8.0,0.0,0.0,0.0,0.0
40,-6.0,2.0,40.0,3.79,216.0,8.0,0.0,0.0,0.0,0.0
41,-36.0,-40.0,-50.0,3.76,216.0,8.0,0.0,0.0,0.0,0.0
42,57.0,-4.0,49.0,3.76,54.0,2.0,0.0,0.0,0.0,0.0
43,-39.0,-43.0,-17.0,3.76,189.0,7.0,0.0,0.0,0.0,0.0
