Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,21.0,-94.0,4.0,6.7,6642.0,246.0,1.0,1.0,0.89,1.0
1a,27.0,-88.0,-5.0,6.54,,,,,,
2,-51.0,-37.0,4.0,6.67,810.0,30.0,1.0,1.0,0.1,0.97
3,-24.0,-88.0,-11.0,6.48,7425.0,275.0,1.0,1.0,0.9,1.0
3a,-21.0,-91.0,4.0,6.34,,,,,,
3b,-12.0,-88.0,-8.0,6.25,,,,,,
4,-60.0,-31.0,25.0,6.13,1782.0,66.0,1.0,1.0,0.59,0.98
4a,-57.0,-37.0,34.0,5.85,,,,,,
5,3.0,-67.0,61.0,5.85,1215.0,45.0,1.0,1.0,0.4,0.98
5a,0.0,-76.0,46.0,5.18,,,,,,
6,63.0,-34.0,28.0,5.53,783.0,29.0,1.0,1.0,0.07,0.97
6a,60.0,-22.0,19.0,5.28,,,,,,
7,-3.0,-55.0,67.0,5.52,324.0,12.0,1.0,1.0,0.0,0.92
8,-54.0,-4.0,49.0,5.48,189.0,7.0,1.0,1.0,0.0,0.86
9,51.0,-64.0,40.0,5.46,1485.0,55.0,1.0,1.0,0.51,0.98
9a,51.0,-55.0,46.0,5.3,,,,,,
10,54.0,11.0,7.0,5.44,162.0,6.0,1.0,1.0,0.0,0.83
11,-33.0,-58.0,40.0,5.38,891.0,33.0,1.0,1.0,0.18,0.97
12,6.0,-91.0,37.0,5.32,108.0,4.0,1.0,1.0,0.0,0.75
13,3.0,-94.0,19.0,5.27,216.0,8.0,1.0,1.0,0.0,0.88
13a,3.0,-94.0,28.0,5.21,,,,,,
14,39.0,-67.0,49.0,5.25,243.0,9.0,1.0,1.0,0.0,0.89
15,51.0,-28.0,4.0,5.25,81.0,3.0,1.0,1.0,0.0,0.67
16,-18.0,-49.0,64.0,5.23,162.0,6.0,1.0,1.0,0.0,0.83
17,54.0,-7.0,-11.0,5.1,27.0,1.0,1.0,1.0,0.0,0.0
18,-54.0,-70.0,1.0,5.08,27.0,1.0,1.0,1.0,0.0,0.0
19,-51.0,-4.0,52.0,5.07,27.0,1.0,1.0,1.0,0.0,0.0
20,-54.0,-52.0,-20.0,5.04,27.0,1.0,1.0,1.0,0.0,0.0
21,-3.0,-31.0,28.0,5.01,27.0,1.0,1.0,1.0,0.0,0.0
22,57.0,-4.0,-11.0,5.01,27.0,1.0,1.0,1.0,0.0,0.0
