Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-39.0,-24.0,57.0,7.68,10125,0.99,1.00,0.93
2,39.0,-21.0,54.0,7.30,14850,1.00,1.00,0.95
2a,51.0,-15.0,54.0,6.70,,,,
3,-18.0,-51.0,-24.0,6.42,2700,0.98,1.00,0.73
4,21.0,-48.0,-24.0,6.16,1215,0.96,1.00,0.40
5,45.0,-18.0,18.0,5.02,837,0.94,1.00,0.13
6,9.0,-18.0,51.0,4.98,189,0.86,1.00,0.00
7,33.0,-9.0,0.0,4.76,135,0.60,1.00,0.00
8,-42.0,-18.0,15.0,4.76,81,0.33,1.00,0.00
9,-6.0,-21.0,48.0,4.74,81,0.33,1.00,0.00
