Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-39.0,-24.0,57.0,7.68,19224,0.63,0.76,0.76
2,39.0,-21.0,54.0,7.30,27864,0.68,0.78,0.80
2a,51.0,-15.0,54.0,6.70,,,,
2b,9.0,-18.0,51.0,4.98,,,,
3,-18.0,-51.0,-24.0,6.42,8370,0.40,0.55,0.53
4,21.0,-48.0,-24.0,6.16,4158,0.32,0.45,0.37
5,45.0,-18.0,18.0,5.02,8154,0.25,0.44,0.44
5a,33.0,-9.0,0.0,4.76,,,,
6,-42.0,-18.0,15.0,4.76,2322,0.01,0.12,0.00
7,-6.0,-21.0,48.0,4.74,1701,0.02,0.11,0.00
7a,-6.0,-9.0,48.0,4.34,,,,
8,-18.0,-87.0,-9.0,3.96,1998,0.00,0.00,0.00
8a,-18.0,-93.0,-3.0,3.88,,,,
8b,-33.0,-75.0,-12.0,3.50,,,,
9,3.0,-3.0,-6.0,3.67,432,0.00,0.00,0.00
10,18.0,-21.0,6.0,3.56,297,0.00,0.00,0.00
11,-18.0,48.0,15.0,3.35,108,0.00,0.00,0.00
12,24.0,-87.0,-6.0,3.29,405,0.00,0.00,0.00
13,-57.0,-42.0,6.0,3.25,135,0.00,0.00,0.00
14,42.0,-60.0,0.0,3.21,189,0.00,0.00,0.00
15,-15.0,-21.0,3.0,3.14,27,0.00,0.00,0.00
16,-21.0,9.0,-3.0,3.13,54,0.00,0.00,0.00
17,27.0,-69.0,33.0,3.12,54,0.00,0.00,0.00
18,-21.0,30.0,42.0,3.00,27,0.00,0.00,0.00
