Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,18.0,-100.0,10.0,8.02,104112.0,3856.0,0.94,0.98,0.98,0.98
1a,15.0,-91.0,1.0,8.01,,,,,,
1b,27.0,-55.0,-11.0,7.81,,,,,,
1c,24.0,-88.0,10.0,7.54,,,,,,
2,-39.0,-73.0,46.0,4.93,2052.0,76.0,0.09,0.16,0.21,0.2
3,24.0,-58.0,55.0,4.83,4536.0,168.0,0.2,0.51,0.62,0.49
3a,24.0,-73.0,40.0,4.28,,,,,,
4,51.0,-70.0,40.0,4.68,1215.0,45.0,0.0,0.0,0.0,0.04
4a,57.0,-64.0,37.0,4.18,,,,,,
4b,63.0,-61.0,22.0,4.03,,,,,,
5,3.0,29.0,-17.0,4.64,2781.0,103.0,0.03,0.26,0.39,0.25
5a,9.0,35.0,-14.0,4.04,,,,,,
6,-42.0,-46.0,-23.0,4.61,1215.0,45.0,0.02,0.11,0.0,0.18
7,27.0,5.0,58.0,4.54,1566.0,58.0,0.0,0.0,0.0,0.02
8,-63.0,-52.0,4.0,4.5,1134.0,42.0,0.0,0.05,0.0,0.1
9,-24.0,62.0,-11.0,4.45,270.0,10.0,0.0,0.0,0.0,0.0
10,-15.0,-64.0,55.0,4.39,729.0,27.0,0.0,0.0,0.0,0.0
11,42.0,-43.0,49.0,4.29,594.0,22.0,0.0,0.0,0.0,0.0
12,54.0,-28.0,46.0,4.29,783.0,29.0,0.0,0.0,0.0,0.0
13,57.0,-49.0,52.0,4.2,27.0,1.0,0.0,0.0,0.0,0.0
14,51.0,8.0,16.0,4.06,459.0,17.0,0.0,0.0,0.0,0.0
15,63.0,-4.0,-29.0,3.96,162.0,6.0,0.0,0.0,0.0,0.0
16,6.0,-55.0,28.0,3.9,1431.0,53.0,0.0,0.0,0.0,0.0
16a,-3.0,-55.0,25.0,3.86,,,,,,
16b,0.0,-46.0,31.0,3.77,,,,,,
16c,0.0,-37.0,31.0,3.72,,,,,,
17,51.0,-61.0,49.0,3.88,27.0,1.0,0.0,0.0,0.0,0.0
18,57.0,-58.0,46.0,3.87,54.0,2.0,0.0,0.0,0.0,0.0
19,57.0,17.0,19.0,3.83,189.0,7.0,0.0,0.0,0.0,0.0
20,-9.0,53.0,-5.0,3.8,189.0,7.0,0.0,0.0,0.0,0.0
21,45.0,-76.0,40.0,3.8,54.0,2.0,0.0,0.0,0.0,0.0
22,-12.0,53.0,28.0,3.73,108.0,4.0,0.0,0.0,0.0,0.0
23,0.0,50.0,13.0,3.66,27.0,1.0,0.0,0.0,0.0,0.0
24,-48.0,-64.0,-17.0,3.63,54.0,2.0,0.0,0.0,0.0,0.0
25,39.0,62.0,1.0,3.6,27.0,1.0,0.0,0.0,0.0,0.0
26,18.0,-19.0,-17.0,3.6,27.0,1.0,0.0,0.0,0.0,0.0
27,-12.0,47.0,-11.0,3.58,27.0,1.0,0.0,0.0,0.0,0.0
28,-33.0,-73.0,52.0,3.57,27.0,1.0,0.0,0.0,0.0,0.0
29,-24.0,2.0,55.0,3.57,27.0,1.0,0.0,0.0,0.0,0.0
30,-42.0,-16.0,-26.0,3.57,27.0,1.0,0.0,0.0,0.0,0.0
31,60.0,-7.0,-20.0,3.57,54.0,2.0,0.0,0.0,0.0,0.0
32,3.0,47.0,-5.0,3.57,54.0,2.0,0.0,0.0,0.0,0.0
33,60.0,-64.0,19.0,3.56,27.0,1.0,0.0,0.0,0.0,0.0
34,-21.0,-13.0,-20.0,3.53,27.0,1.0,0.0,0.0,0.0,0.0
35,-15.0,-1.0,-14.0,3.53,27.0,1.0,0.0,0.0,0.0,0.0
36,-3.0,44.0,4.0,3.52,27.0,1.0,0.0,0.0,0.0,0.0
37,36.0,62.0,-2.0,3.52,54.0,2.0,0.0,0.0,0.0,0.0
38,30.0,26.0,-2.0,3.52,27.0,1.0,0.0,0.0,0.0,0.0
39,45.0,20.0,4.0,3.51,27.0,1.0,0.0,0.0,0.0,0.0
40,33.0,23.0,-2.0,3.51,27.0,1.0,0.0,0.0,0.0,0.0
41,63.0,-52.0,37.0,3.51,27.0,1.0,0.0,0.0,0.0,0.0
42,6.0,50.0,-5.0,3.51,27.0,1.0,0.0,0.0,0.0,0.0
