Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,36.0,-82.0,19.0,9.51,92664.0,3432.0,1.0,1.0,0.99,1.0
1a,-33.0,-88.0,10.0,9.45,,,,,,
1b,27.0,-61.0,-11.0,9.29,,,,,,
1c,0.0,-82.0,13.0,8.4,,,,,,
2,42.0,-46.0,-20.0,6.6,1215.0,45.0,0.96,0.98,0.4,0.98
3,-9.0,47.0,-26.0,6.11,540.0,20.0,0.85,0.9,0.0,0.9
4,-27.0,26.0,55.0,5.47,513.0,19.0,0.89,0.89,0.0,0.95
5,-21.0,35.0,-14.0,5.43,675.0,25.0,0.92,0.92,0.0,0.92
6,0.0,-64.0,37.0,5.32,594.0,22.0,0.86,0.91,0.0,0.91
7,6.0,47.0,-26.0,5.32,189.0,7.0,0.86,0.86,0.0,0.86
8,24.0,2.0,-17.0,5.29,324.0,12.0,0.83,0.83,0.0,0.83
9,48.0,-61.0,-8.0,5.2,621.0,23.0,0.91,0.91,0.0,0.91
10,-39.0,11.0,-23.0,5.15,162.0,6.0,0.5,0.67,0.0,0.67
11,-51.0,-67.0,25.0,5.09,432.0,16.0,0.88,0.88,0.0,0.88
11a,-48.0,-67.0,37.0,4.75,,,,,,
12,12.0,53.0,-23.0,4.86,108.0,4.0,0.5,0.5,0.0,0.5
13,-21.0,29.0,58.0,4.71,27.0,1.0,0.0,0.0,0.0,0.0
14,-21.0,44.0,-11.0,4.63,27.0,1.0,0.0,0.0,0.0,0.0
15,-48.0,-55.0,19.0,4.6,54.0,2.0,0.0,0.0,0.0,0.5
16,3.0,59.0,25.0,4.6,27.0,1.0,0.0,0.0,0.0,0.0
17,33.0,29.0,-17.0,4.6,27.0,1.0,0.0,0.0,0.0,0.0
18,12.0,-61.0,-2.0,4.55,27.0,1.0,0.0,0.0,0.0,0.0
19,21.0,-10.0,-14.0,4.54,27.0,1.0,0.0,0.0,0.0,0.0
20,51.0,-10.0,-17.0,4.54,27.0,1.0,0.0,0.0,0.0,0.0
21,12.0,-79.0,52.0,4.53,27.0,1.0,0.0,0.0,0.0,0.0
