Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-45.0,11.0,-29.0,5.23,4374,0.34,0.60,0.60
1a,-51.0,-10.0,-14.0,4.99,,,,
1b,-54.0,14.0,-23.0,4.37,,,,
2,-9.0,38.0,13.0,4.94,8316,0.41,0.76,0.78
2a,6.0,35.0,25.0,4.72,,,,
2b,-6.0,35.0,-2.0,4.50,,,,
2c,9.0,50.0,-2.0,4.33,,,,
3,57.0,-37.0,19.0,4.87,1134,0.12,0.26,0.00
4,-66.0,-19.0,10.0,4.73,1134,0.10,0.17,0.00
5,-45.0,32.0,-5.0,4.69,1998,0.01,0.30,0.16
5a,-54.0,35.0,1.0,4.42,,,,
5b,-36.0,32.0,-14.0,4.15,,,,
6,-30.0,32.0,46.0,4.64,1917,0.00,0.21,0.13
6a,-45.0,23.0,40.0,4.48,,,,
7,-3.0,-76.0,43.0,4.52,7830,0.32,0.75,0.77
7a,-12.0,-73.0,58.0,4.41,,,,
7b,3.0,-67.0,52.0,4.32,,,,
7c,-15.0,-70.0,31.0,4.00,,,,
8,21.0,-13.0,-17.0,4.36,324,0.00,0.00,0.00
9,-21.0,-10.0,-11.0,4.33,702,0.00,0.00,0.00
10,15.0,-64.0,10.0,4.22,648,0.00,0.00,0.00
10a,15.0,-64.0,19.0,4.05,,,,
11,-39.0,-10.0,1.0,4.21,324,0.00,0.00,0.00
12,30.0,8.0,64.0,4.17,540,0.00,0.00,0.00
13,24.0,62.0,10.0,4.17,567,0.00,0.00,0.00
14,-33.0,59.0,10.0,4.15,1242,0.00,0.00,0.00
14a,-39.0,53.0,7.0,4.04,,,,
14b,-36.0,53.0,16.0,3.97,,,,
14c,-24.0,62.0,4.0,3.66,,,,
15,-51.0,-58.0,43.0,4.13,1107,0.00,0.00,0.00
16,-27.0,-88.0,28.0,4.13,243,0.00,0.00,0.00
17,-18.0,17.0,61.0,4.12,513,0.00,0.00,0.00
18,45.0,17.0,-29.0,4.12,459,0.00,0.00,0.00
19,6.0,-52.0,70.0,4.10,243,0.00,0.00,0.00
20,63.0,-16.0,-2.0,4.07,135,0.00,0.00,0.00
21,-54.0,23.0,16.0,4.01,297,0.00,0.00,0.00
22,3.0,-40.0,52.0,3.97,729,0.00,0.00,0.00
22a,3.0,-31.0,46.0,3.87,,,,
23,-21.0,41.0,34.0,3.94,270,0.00,0.00,0.00
24,18.0,26.0,58.0,3.89,189,0.00,0.00,0.00
25,0.0,-19.0,31.0,3.88,351,0.00,0.00,0.00
26,-51.0,-40.0,-2.0,3.88,324,0.00,0.00,0.00
27,63.0,-19.0,25.0,3.87,243,0.00,0.00,0.00
28,60.0,-34.0,40.0,3.84,270,0.00,0.00,0.00
29,45.0,47.0,1.0,3.82,54,0.00,0.00,0.00
30,60.0,-55.0,37.0,3.81,270,0.00,0.00,0.00
31,69.0,-13.0,1.0,3.79,108,0.00,0.00,0.00
32,-48.0,23.0,22.0,3.76,81,0.00,0.00,0.00
33,51.0,-13.0,-17.0,3.71,108,0.00,0.00,0.00
34,21.0,14.0,64.0,3.71,162,0.00,0.00,0.00
35,-60.0,-1.0,1.0,3.70,189,0.00,0.00,0.00
36,54.0,8.0,7.0,3.69,162,0.00,0.00,0.00
37,51.0,5.0,-5.0,3.68,54,0.00,0.00,0.00
38,-6.0,-85.0,28.0,3.67,135,0.00,0.00,0.00
39,-3.0,-28.0,28.0,3.61,135,0.00,0.00,0.00
40,30.0,59.0,1.0,3.61,27,0.00,0.00,0.00
41,33.0,26.0,55.0,3.61,81,0.00,0.00,0.00
42,-30.0,44.0,37.0,3.60,27,0.00,0.00,0.00
43,15.0,-67.0,31.0,3.56,54,0.00,0.00,0.00
44,18.0,20.0,61.0,3.55,27,0.00,0.00,0.00
45,-15.0,59.0,-2.0,3.55,27,0.00,0.00,0.00
46,-9.0,59.0,-2.0,3.55,27,0.00,0.00,0.00
47,39.0,-46.0,37.0,3.54,27,0.00,0.00,0.00
48,-12.0,17.0,1.0,3.54,27,0.00,0.00,0.00
49,15.0,-85.0,31.0,3.52,27,0.00,0.00,0.00
50,-15.0,23.0,58.0,3.52,27,0.00,0.00,0.00
51,-54.0,-70.0,-8.0,3.51,27,0.00,0.00,0.00
52,60.0,-52.0,34.0,3.51,27,0.00,0.00,0.00
53,-48.0,-19.0,-11.0,3.51,27,0.00,0.00,0.00
54,-30.0,41.0,40.0,3.50,27,0.00,0.00,0.00
55,54.0,2.0,-2.0,3.50,27,0.00,0.00,0.00
