Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,39.0,-22.0,61.0,12.37,23868,0.88,0.92,0.92
1a,39.0,-19.0,49.0,12.08,,,,
2,-6.0,-22.0,73.0,11.24,43416,0.87,0.95,0.95
2a,-6.0,-34.0,73.0,11.08,,,,
2b,-9.0,-1.0,43.0,6.75,,,,
2c,12.0,-43.0,70.0,5.62,,,,
3,-18.0,-52.0,-23.0,10.44,9558,0.77,0.81,0.80
3a,-3.0,-64.0,-20.0,6.05,,,,
3b,-6.0,-67.0,-35.0,5.84,,,,
4,21.0,-34.0,-26.0,9.10,8289,0.82,0.84,0.78
4a,3.0,-46.0,-8.0,5.88,,,,
5,-33.0,-25.0,16.0,8.64,19143,0.76,0.88,0.89
5a,-33.0,-10.0,7.0,7.29,,,,
5b,-51.0,-31.0,19.0,6.87,,,,
5c,-54.0,2.0,7.0,5.92,,,,
6,-18.0,-61.0,-50.0,7.83,1863,0.62,0.67,0.33
7,45.0,-16.0,19.0,6.19,1026,0.47,0.58,0.00
8,30.0,-1.0,-5.0,5.79,567,0.33,0.43,0.00
9,3.0,-67.0,-44.0,5.62,621,0.35,0.48,0.00
10,21.0,-43.0,-50.0,4.62,324,0.00,0.00,0.00
11,-6.0,-25.0,7.0,4.59,2457,0.21,0.42,0.29
11a,-3.0,-34.0,-2.0,4.54,,,,
11b,-3.0,-10.0,13.0,4.35,,,,
12,-18.0,-34.0,-23.0,4.10,405,0.00,0.00,0.00
13,51.0,-28.0,28.0,3.96,405,0.00,0.00,0.00
14,69.0,-25.0,25.0,3.87,189,0.00,0.00,0.00
15,-24.0,-13.0,55.0,3.66,27,0.00,0.00,0.00
16,-3.0,-37.0,-5.0,3.62,27,0.00,0.00,0.00
17,-30.0,41.0,31.0,3.53,27,0.00,0.00,0.00
