Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,39.0,-22.0,61.0,12.37,21789,0.96,0.98,0.96
1a,39.0,-19.0,49.0,12.08,,,,
2,-6.0,-22.0,73.0,11.24,34722,0.98,0.99,0.97
2a,-6.0,-34.0,73.0,11.08,,,,
2b,-9.0,-1.0,43.0,6.75,,,,
2c,12.0,-43.0,70.0,5.62,,,,
3,-18.0,-52.0,-23.0,10.44,7776,0.92,0.95,0.89
3a,-3.0,-64.0,-20.0,6.05,,,,
4,21.0,-34.0,-26.0,9.10,7290,0.93,0.95,0.88
4a,3.0,-46.0,-8.0,5.88,,,,
5,-33.0,-25.0,16.0,8.64,13797,0.95,0.97,0.94
5a,-33.0,-10.0,7.0,7.29,,,,
5b,-51.0,-31.0,19.0,6.87,,,,
5c,-54.0,2.0,7.0,5.92,,,,
6,-18.0,-61.0,-50.0,7.83,1485,0.78,0.82,0.42
7,45.0,-16.0,19.0,6.19,810,0.60,0.70,0.00
8,-6.0,-67.0,-35.0,5.84,297,0.64,0.73,0.00
9,30.0,-1.0,-5.0,5.79,405,0.47,0.53,0.00
10,3.0,-67.0,-44.0,5.62,432,0.50,0.62,0.00
11,3.0,-40.0,-11.0,4.97,27,1.00,1.00,0.00
12,21.0,-43.0,-50.0,4.62,81,0.00,0.00,0.00
13,-6.0,-25.0,7.0,4.59,1161,0.35,0.67,0.26
13a,-6.0,-34.0,1.0,4.47,,,,
13b,-3.0,-10.0,13.0,4.35,,,,
14,-3.0,-34.0,-2.0,4.54,27,0.00,0.00,0.00
15,-45.0,-19.0,52.0,4.29,189,0.00,0.00,0.00
16,-15.0,-31.0,43.0,4.18,27,0.00,0.00,0.00
17,0.0,-34.0,1.0,4.15,54,0.00,0.00,0.00
18,-42.0,-25.0,58.0,4.12,54,0.00,0.00,0.00
19,-18.0,-34.0,-23.0,4.10,81,0.00,0.00,0.00
