Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,54.0,-46.0,28.0,6.03,15957,0.67,0.85,0.86
1a,54.0,-49.0,16.0,5.92,,,,
1b,63.0,-49.0,37.0,5.36,,,,
1c,63.0,-31.0,1.0,5.21,,,,
2,3.0,-58.0,37.0,5.58,18117,0.69,0.87,0.88
2a,3.0,-64.0,46.0,5.11,,,,
2b,0.0,-49.0,55.0,4.64,,,,
2c,-12.0,-52.0,31.0,4.25,,,,
3,-60.0,-55.0,37.0,5.07,648,0.12,0.17,0.00
4,-51.0,35.0,13.0,4.99,1134,0.12,0.29,0.00
5,3.0,62.0,16.0,4.88,6210,0.23,0.63,0.66
5a,15.0,59.0,31.0,4.16,,,,
5b,-9.0,56.0,7.0,3.92,,,,
5c,-6.0,50.0,25.0,3.77,,,,
6,63.0,-22.0,-14.0,4.64,1593,0.02,0.12,0.00
6a,66.0,-10.0,-20.0,4.03,,,,
7,54.0,2.0,-29.0,4.62,1971,0.12,0.26,0.10
7a,54.0,14.0,-29.0,4.42,,,,
7b,45.0,20.0,-29.0,4.09,,,,
7c,51.0,14.0,-38.0,4.02,,,,
8,9.0,26.0,64.0,4.45,216,0.00,0.00,0.00
9,-27.0,-76.0,-32.0,4.39,945,0.00,0.06,0.00
10,-42.0,8.0,19.0,4.33,513,0.00,0.00,0.00
10a,-42.0,5.0,28.0,4.24,,,,
11,24.0,-7.0,-14.0,4.30,378,0.00,0.00,0.00
12,27.0,17.0,-14.0,4.23,189,0.00,0.00,0.00
13,-45.0,5.0,-35.0,3.96,621,0.00,0.00,0.00
14,3.0,56.0,-14.0,3.91,270,0.00,0.00,0.00
15,9.0,-37.0,49.0,3.89,162,0.00,0.00,0.00
16,-36.0,-4.0,-20.0,3.89,27,0.00,0.00,0.00
17,-33.0,20.0,-20.0,3.87,162,0.00,0.00,0.00
18,-21.0,-7.0,-17.0,3.82,135,0.00,0.00,0.00
19,45.0,17.0,-23.0,3.82,54,0.00,0.00,0.00
20,21.0,50.0,43.0,3.80,27,0.00,0.00,0.00
21,51.0,-46.0,-11.0,3.78,216,0.00,0.00,0.00
22,-60.0,-64.0,19.0,3.76,81,0.00,0.00,0.00
23,-30.0,2.0,-26.0,3.74,54,0.00,0.00,0.00
24,-57.0,-4.0,-35.0,3.74,135,0.00,0.00,0.00
25,24.0,20.0,49.0,3.73,27,0.00,0.00,0.00
26,-33.0,35.0,-11.0,3.71,54,0.00,0.00,0.00
27,-63.0,-49.0,34.0,3.68,27,0.00,0.00,0.00
28,24.0,65.0,16.0,3.68,162,0.00,0.00,0.00
29,-27.0,-76.0,-44.0,3.63,27,0.00,0.00,0.00
30,-60.0,2.0,-17.0,3.59,27,0.00,0.00,0.00
31,-63.0,-10.0,-29.0,3.56,27,0.00,0.00,0.00
32,51.0,41.0,10.0,3.56,27,0.00,0.00,0.00
33,-42.0,5.0,-29.0,3.55,27,0.00,0.00,0.00
