Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,27.0,-94.0,-5.0,9.87,25029,1.00,1.00,0.97
1a,39.0,-43.0,-20.0,9.56,,,,
1b,42.0,-85.0,-11.0,8.68,,,,
1c,42.0,-58.0,-17.0,8.62,,,,
2,-24.0,-97.0,-8.0,9.20,23166,1.00,1.00,0.97
2a,-39.0,-46.0,-20.0,9.05,,,,
2b,-33.0,-88.0,-11.0,8.81,,,,
2c,-42.0,-61.0,-17.0,8.26,,,,
3,-18.0,-4.0,-17.0,8.23,2781,0.98,0.99,0.74
3a,-27.0,11.0,-26.0,6.03,,,,
3b,-30.0,2.0,-23.0,5.98,,,,
4,18.0,-4.0,-14.0,7.95,3483,0.98,0.98,0.79
4a,33.0,5.0,-20.0,6.10,,,,
5,54.0,-67.0,16.0,6.81,1998,0.97,0.99,0.64
6,33.0,-7.0,-32.0,6.27,1026,0.95,0.97,0.29
7,45.0,29.0,19.0,5.76,2727,0.98,0.99,0.73
8,-33.0,-7.0,-32.0,5.37,297,0.73,0.82,0.00
9,51.0,-7.0,-14.0,5.11,135,0.60,0.80,0.00
10,-39.0,-37.0,43.0,5.11,405,0.87,0.93,0.00
11,33.0,38.0,-11.0,5.01,216,0.88,0.88,0.00
12,-42.0,26.0,16.0,4.98,54,1.00,1.00,0.00
13,36.0,11.0,31.0,4.79,81,0.67,0.67,0.00
14,-45.0,-67.0,1.0,4.79,162,0.67,0.83,0.00
15,-39.0,14.0,28.0,4.76,135,0.60,0.80,0.00
16,51.0,-40.0,10.0,4.60,54,0.00,0.50,0.00
17,48.0,-40.0,13.0,4.51,27,0.00,0.00,0.00
