Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,18.0,-49.0,4.0,5.20,864,0.09,0.12,0.00
2,30.0,-97.0,-11.0,5.19,32346,0.27,0.72,0.75
2a,15.0,-61.0,-23.0,4.97,,,,
2b,-15.0,-43.0,-26.0,4.62,,,,
2c,30.0,-82.0,-38.0,4.57,,,,
3,-24.0,-97.0,-17.0,5.14,17010,0.28,0.56,0.59
3a,-39.0,-70.0,-35.0,4.98,,,,
3b,-33.0,-91.0,-17.0,4.85,,,,
3c,-27.0,-91.0,-32.0,4.53,,,,
4,48.0,-40.0,58.0,5.05,11718,0.14,0.36,0.37
4a,54.0,-52.0,40.0,4.97,,,,
4b,63.0,-40.0,37.0,4.01,,,,
4c,51.0,-22.0,55.0,4.00,,,,
5,-57.0,-4.0,-5.0,4.82,28242,0.27,0.68,0.71
5a,-63.0,-25.0,13.0,4.45,,,,
5b,-60.0,-13.0,1.0,4.41,,,,
5c,-57.0,-37.0,10.0,4.39,,,,
6,-12.0,-7.0,16.0,4.80,918,0.09,0.15,0.00
7,-54.0,-10.0,43.0,4.62,2889,0.00,0.04,0.00
7a,-45.0,-22.0,37.0,3.98,,,,
7b,-48.0,-13.0,28.0,3.54,,,,
8,27.0,-40.0,61.0,4.61,8316,0.00,0.13,0.18
8a,9.0,-49.0,73.0,4.41,,,,
8b,6.0,-34.0,64.0,4.27,,,,
8c,6.0,-19.0,40.0,4.18,,,,
9,42.0,2.0,-8.0,4.59,11826,0.05,0.32,0.37
9a,36.0,-10.0,4.0,4.59,,,,
9b,57.0,-4.0,25.0,4.47,,,,
9c,60.0,5.0,4.0,4.46,,,,
10,15.0,38.0,49.0,4.58,10125,0.09,0.27,0.32
10a,30.0,35.0,46.0,4.55,,,,
10b,39.0,32.0,43.0,4.51,,,,
10c,30.0,17.0,55.0,4.48,,,,
11,3.0,35.0,34.0,4.50,10206,0.01,0.29,0.33
11a,-9.0,50.0,19.0,4.37,,,,
11b,3.0,38.0,28.0,4.29,,,,
11c,-3.0,50.0,16.0,4.20,,,,
12,36.0,44.0,7.0,4.40,1917,0.00,0.00,0.00
12a,45.0,56.0,1.0,3.79,,,,
13,-12.0,11.0,-17.0,4.20,1755,0.00,0.00,0.00
13a,-15.0,23.0,-23.0,3.91,,,,
13b,-15.0,26.0,-5.0,3.75,,,,
13c,-18.0,14.0,-8.0,3.35,,,,
14,39.0,-31.0,16.0,4.19,594,0.00,0.00,0.00
14a,48.0,-22.0,13.0,3.12,,,,
15,-21.0,-34.0,58.0,4.17,1539,0.00,0.00,0.00
15a,-18.0,-46.0,64.0,3.45,,,,
16,30.0,-43.0,-11.0,4.16,1323,0.00,0.00,0.00
17,12.0,20.0,-20.0,4.15,1458,0.00,0.00,0.00
