Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,-30.0,-82.0,19.0,6.43,2727.0,101.0,0.97,0.98,0.73,0.98
2,36.0,-85.0,25.0,5.43,2268.0,84.0,0.96,0.98,0.68,0.98
2a,42.0,-88.0,10.0,5.39,,,,,,
2b,45.0,-76.0,10.0,4.94,,,,,,
3,54.0,-61.0,-11.0,5.41,1944.0,72.0,0.96,0.97,0.62,0.97
3a,45.0,-73.0,-14.0,4.83,,,,,,
4,-21.0,-70.0,55.0,4.81,162.0,6.0,0.5,0.67,0.0,0.67
5,24.0,-70.0,55.0,4.71,324.0,12.0,0.75,0.83,0.0,0.83
6,-48.0,-61.0,-11.0,4.61,27.0,1.0,0.0,0.0,0.0,0.0
7,48.0,-76.0,4.0,4.55,27.0,1.0,0.0,0.0,0.0,0.0
