Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,6.0,-28.0,73.0,9.72,8991,0.93,0.96,0.90
2,-6.0,-34.0,73.0,8.74,7803,0.90,0.95,0.89
3,-12.0,-37.0,-23.0,8.56,3888,0.83,0.90,0.78
4,15.0,-37.0,-23.0,7.22,3753,0.79,0.90,0.77
4a,24.0,-31.0,-29.0,6.47,,,,
5,33.0,-22.0,16.0,7.00,1458,0.57,0.76,0.41
5a,36.0,-13.0,7.0,4.54,,,,
5b,45.0,-28.0,19.0,4.51,,,,
6,-36.0,-28.0,61.0,5.37,1971,0.68,0.81,0.56
6a,-45.0,-25.0,64.0,4.91,,,,
7,-33.0,-22.0,16.0,4.83,189,0.14,0.14,0.00
8,-30.0,-46.0,-26.0,4.22,81,0.00,0.00,0.00
