Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,27.0,-55.0,-11.0,8.88,3267,1.00,1.00,0.78
2,36.0,-79.0,13.0,7.54,1836,1.00,1.00,0.60
3,60.0,-64.0,16.0,7.50,5103,1.00,1.00,0.86
3a,63.0,-46.0,16.0,6.82,,,,
4,21.0,-7.0,-17.0,7.08,1269,1.00,1.00,0.43
5,-27.0,-58.0,-11.0,6.94,1404,1.00,1.00,0.48
6,-21.0,-10.0,-20.0,6.91,2592,1.00,1.00,0.72
6a,-30.0,-4.0,-23.0,6.56,,,,
7,42.0,-55.0,-23.0,6.81,1809,1.00,1.00,0.60
7a,42.0,-37.0,-20.0,6.50,,,,
8,-33.0,-85.0,16.0,6.59,1647,1.00,1.00,0.56
9,-60.0,-49.0,16.0,6.51,2133,1.00,1.00,0.66
9a,-48.0,-64.0,16.0,6.02,,,,
9b,-60.0,-64.0,19.0,5.74,,,,
10,-42.0,-22.0,-26.0,6.15,351,1.00,1.00,0.00
11,0.0,-58.0,28.0,6.06,783,1.00,1.00,0.07
11a,-3.0,-52.0,40.0,5.92,,,,
12,-42.0,-37.0,-23.0,5.85,81,1.00,1.00,0.00
13,48.0,-19.0,13.0,5.81,189,1.00,1.00,0.00
13a,42.0,-25.0,13.0,5.73,,,,
14,-24.0,-61.0,52.0,5.74,54,1.00,1.00,0.00
15,-30.0,-10.0,-5.0,5.62,27,1.00,1.00,0.00
16,-24.0,-67.0,37.0,5.52,54,1.00,1.00,0.00
17,-21.0,-64.0,37.0,5.51,27,1.00,1.00,0.00
