Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,-39.0,-22.0,52.0,10.66,13284.0,492.0,1.0,1.0,0.95,1.0
2,-3.0,-22.0,70.0,10.42,19008.0,704.0,1.0,1.0,0.96,1.0
2a,-3.0,-34.0,70.0,10.25,,,,,,
2b,-9.0,-40.0,70.0,10.08,,,,,,
2c,18.0,-46.0,70.0,6.75,,,,,,
3,21.0,-31.0,-26.0,9.38,3591.0,133.0,1.0,1.0,0.8,0.99
4,21.0,-52.0,-20.0,9.38,3078.0,114.0,1.0,1.0,0.76,0.99
5,12.0,-64.0,-47.0,5.79,351.0,13.0,1.0,1.0,0.0,0.92
5a,21.0,-58.0,-50.0,5.74,,,,,,
6,-33.0,-4.0,7.0,5.65,81.0,3.0,1.0,1.0,0.0,0.67
7,-33.0,-25.0,16.0,5.5,54.0,2.0,1.0,1.0,0.0,0.5
8,24.0,-55.0,-50.0,5.25,27.0,1.0,1.0,1.0,0.0,0.0
9,48.0,-28.0,25.0,5.01,27.0,1.0,1.0,1.0,0.0,0.0
