Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,24.0,-94.0,7.0,6.91,9720,0.99,1.00,0.93
1a,27.0,-88.0,-2.0,6.81,,,,
2,-60.0,-28.0,19.0,6.54,16065,1.00,1.00,0.95
2a,-33.0,-43.0,61.0,6.37,,,,
2b,-54.0,-25.0,31.0,6.32,,,,
2c,-57.0,-22.0,40.0,5.83,,,,
3,-24.0,-88.0,-8.0,6.12,9963,0.99,1.00,0.93
4,-18.0,-10.0,64.0,6.11,1890,0.97,0.99,0.61
5,51.0,-22.0,37.0,6.00,8073,0.99,1.00,0.91
5a,60.0,-31.0,31.0,5.75,,,,
5b,63.0,-25.0,37.0,5.66,,,,
5c,60.0,-19.0,19.0,5.46,,,,
6,-24.0,-52.0,-20.0,5.88,1053,0.95,0.97,0.31
7,-42.0,-1.0,10.0,5.87,2565,0.98,0.99,0.72
7a,-33.0,-1.0,13.0,5.76,,,,
7b,-54.0,2.0,7.0,5.22,,,,
8,57.0,8.0,7.0,5.73,1161,0.95,0.98,0.37
9,-54.0,-70.0,1.0,5.50,945,0.94,0.97,0.23
10,3.0,-91.0,34.0,5.42,648,0.92,0.96,0.00
10a,3.0,-97.0,22.0,5.14,,,,
11,48.0,-52.0,49.0,5.38,1620,0.97,0.98,0.55
11a,45.0,-43.0,61.0,5.08,,,,
12,-54.0,-4.0,49.0,5.29,351,0.85,0.92,0.00
13,3.0,-28.0,28.0,5.21,891,0.94,0.97,0.18
13a,3.0,-37.0,25.0,4.83,,,,
14,-45.0,-61.0,43.0,5.18,1215,0.96,0.98,0.40
15,33.0,-13.0,58.0,5.16,675,0.92,0.96,0.00
16,48.0,-31.0,1.0,4.97,378,0.86,0.93,0.00
17,60.0,-55.0,-26.0,4.92,243,0.78,0.89,0.00
18,-51.0,-31.0,1.0,4.84,189,0.71,0.86,0.00
19,-51.0,-67.0,-32.0,4.83,81,0.67,0.67,0.00
20,54.0,-7.0,-14.0,4.77,243,0.78,0.89,0.00
21,6.0,-97.0,25.0,4.75,27,1.00,1.00,0.00
22,3.0,-76.0,46.0,4.73,189,0.71,0.86,0.00
23,-6.0,5.0,58.0,4.69,81,0.67,1.00,0.00
24,36.0,5.0,10.0,4.68,351,0.85,0.92,0.00
24a,45.0,-1.0,13.0,4.66,,,,
25,-54.0,-55.0,-20.0,4.66,108,0.50,0.75,0.00
26,-45.0,-82.0,10.0,4.64,54,0.50,0.50,0.00
27,6.0,-7.0,61.0,4.64,54,0.00,0.50,0.00
28,54.0,5.0,25.0,4.64,27,0.00,1.00,0.00
29,9.0,5.0,43.0,4.60,54,0.50,0.50,0.00
30,3.0,-67.0,61.0,4.57,27,0.00,0.00,0.00
31,-3.0,-70.0,61.0,4.57,27,0.00,0.00,0.00
32,-42.0,-82.0,13.0,4.53,27,0.00,0.00,0.00
33,24.0,-43.0,61.0,4.51,27,0.00,0.00,0.00
34,-60.0,-58.0,-20.0,4.50,27,0.00,0.00,0.00
