Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,39.0,-22.0,61.0,12.37,16335.0,605.0,1.0,1.0,0.96,1.0
1a,39.0,-19.0,49.0,12.08,,,,,,
2,-6.0,-22.0,73.0,11.24,19332.0,716.0,1.0,1.0,0.96,1.0
2a,-6.0,-34.0,73.0,11.08,,,,,,
3,-18.0,-52.0,-23.0,10.44,4104.0,152.0,1.0,1.0,0.82,0.99
4,21.0,-34.0,-26.0,9.1,4347.0,161.0,1.0,1.0,0.83,0.99
5,-33.0,-25.0,16.0,8.64,2619.0,97.0,1.0,1.0,0.72,0.99
5a,-51.0,-31.0,19.0,6.87,,,,,,
6,-18.0,-61.0,-50.0,7.83,864.0,32.0,1.0,1.0,0.16,0.97
7,-33.0,-10.0,7.0,7.29,459.0,17.0,1.0,1.0,0.0,0.94
8,-9.0,-1.0,43.0,6.75,918.0,34.0,1.0,1.0,0.21,0.97
9,45.0,-16.0,19.0,6.19,108.0,4.0,1.0,1.0,0.0,0.75
10,-3.0,-64.0,-20.0,6.05,135.0,5.0,1.0,1.0,0.0,0.8
11,-54.0,2.0,7.0,5.92,216.0,8.0,1.0,1.0,0.0,0.88
12,3.0,-46.0,-8.0,5.88,108.0,4.0,1.0,1.0,0.0,0.75
13,-6.0,-67.0,-35.0,5.84,27.0,1.0,1.0,1.0,0.0,0.0
14,30.0,-1.0,-5.0,5.79,54.0,2.0,1.0,1.0,0.0,0.5
15,3.0,-67.0,-44.0,5.62,81.0,3.0,1.0,1.0,0.0,0.67
16,12.0,-43.0,70.0,5.62,81.0,3.0,1.0,1.0,0.0,0.67
