Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,39.0,-22.0,61.0,12.37,25974.0,962.0,0.81,0.84,0.85,0.85
1a,39.0,-19.0,49.0,12.08,,,,,,
2,-6.0,-22.0,73.0,11.24,53487.0,1981.0,0.7,0.8,0.86,0.81
2a,-6.0,-34.0,73.0,11.08,,,,,,
2b,-9.0,-1.0,43.0,6.75,,,,,,
2c,12.0,-43.0,70.0,5.62,,,,,,
3,-18.0,-52.0,-23.0,10.44,13176.0,488.0,0.67,0.71,0.72,0.72
3a,-18.0,-61.0,-50.0,7.83,,,,,,
3b,-3.0,-64.0,-20.0,6.05,,,,,,
3c,-6.0,-67.0,-35.0,5.84,,,,,,
4,21.0,-34.0,-26.0,9.1,10773.0,399.0,0.63,0.66,0.63,0.66
4a,3.0,-46.0,-8.0,5.88,,,,,,
4b,21.0,-43.0,-50.0,4.62,,,,,,
4c,18.0,-52.0,-47.0,3.26,,,,,,
5,-33.0,-25.0,16.0,8.64,26001.0,963.0,0.56,0.65,0.72,0.66
5a,-33.0,-10.0,7.0,7.29,,,,,,
5b,-51.0,-31.0,19.0,6.87,,,,,,
5c,-54.0,2.0,7.0,5.92,,,,,,
6,45.0,-16.0,19.0,6.19,1431.0,53.0,0.34,0.4,0.0,0.42
7,30.0,-1.0,-5.0,5.79,864.0,32.0,0.22,0.25,0.0,0.28
8,3.0,-67.0,-44.0,5.62,945.0,35.0,0.23,0.29,0.0,0.31
9,-6.0,-25.0,7.0,4.59,4536.0,168.0,0.11,0.22,0.17,0.24
9a,-3.0,-34.0,-2.0,4.54,,,,,,
9b,-3.0,-10.0,13.0,4.35,,,,,,
10,-18.0,-34.0,-23.0,4.1,756.0,28.0,0.0,0.0,0.0,0.0
11,51.0,-28.0,28.0,3.96,2079.0,77.0,0.0,0.0,0.0,0.0
11a,69.0,-25.0,25.0,3.87,,,,,,
12,-30.0,41.0,31.0,3.53,351.0,13.0,0.0,0.0,0.0,0.0
13,-27.0,2.0,7.0,3.47,54.0,2.0,0.0,0.0,0.0,0.0
14,-18.0,-25.0,-11.0,3.2,135.0,5.0,0.0,0.0,0.0,0.0
15,0.0,-28.0,-14.0,3.18,54.0,2.0,0.0,0.0,0.0,0.0
16,48.0,14.0,-5.0,3.14,54.0,2.0,0.0,0.0,0.0,0.0
17,54.0,-22.0,-23.0,3.14,27.0,1.0,0.0,0.0,0.0,0.0
18,-18.0,38.0,-17.0,3.1,54.0,2.0,0.0,0.0,0.0,0.0
19,42.0,-46.0,-35.0,3.09,27.0,1.0,0.0,0.0,0.0,0.0
20,15.0,-55.0,-50.0,3.07,27.0,1.0,0.0,0.0,0.0,0.0
21,51.0,5.0,1.0,3.05,27.0,1.0,0.0,0.0,0.0,0.0
22,-27.0,53.0,31.0,3.05,54.0,2.0,0.0,0.0,0.0,0.0
23,-60.0,-7.0,-29.0,3.04,27.0,1.0,0.0,0.0,0.0,0.0
24,30.0,-25.0,-32.0,3.03,27.0,1.0,0.0,0.0,0.0,0.0
