Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,39.0,-22.0,61.0,12.37,19791.0,733.0,1.0,1.0,0.96,1.0
1a,39.0,-19.0,49.0,12.08,,,,,,
2,-6.0,-22.0,73.0,11.24,26136.0,968.0,1.0,1.0,0.97,1.0
2a,-6.0,-34.0,73.0,11.08,,,,,,
2b,12.0,-43.0,70.0,5.62,,,,,,
3,-18.0,-52.0,-23.0,10.44,6426.0,238.0,0.99,0.99,0.89,0.99
3a,-3.0,-64.0,-20.0,6.05,,,,,,
4,21.0,-34.0,-26.0,9.1,6480.0,240.0,0.99,0.99,0.89,0.99
4a,3.0,-46.0,-8.0,5.88,,,,,,
5,-33.0,-25.0,16.0,8.64,9045.0,335.0,0.99,0.99,0.92,0.99
5a,-33.0,-10.0,7.0,7.29,,,,,,
5b,-51.0,-31.0,19.0,6.87,,,,,,
5c,-54.0,2.0,7.0,5.92,,,,,,
6,-18.0,-61.0,-50.0,7.83,1188.0,44.0,0.98,0.98,0.39,0.98
7,-9.0,-1.0,43.0,6.75,1863.0,69.0,0.97,0.97,0.61,0.97
8,45.0,-16.0,19.0,6.19,513.0,19.0,0.89,0.95,0.0,0.95
9,-6.0,-67.0,-35.0,5.84,216.0,8.0,0.88,0.88,0.0,0.88
10,30.0,-1.0,-5.0,5.79,243.0,9.0,0.78,0.78,0.0,0.78
11,3.0,-67.0,-44.0,5.62,270.0,10.0,0.8,0.9,0.0,0.9
12,3.0,-40.0,-11.0,4.97,27.0,1.0,1.0,1.0,0.0,0.0
13,21.0,-43.0,-50.0,4.62,27.0,1.0,0.0,0.0,0.0,0.0
14,-6.0,-25.0,7.0,4.59,108.0,4.0,0.5,0.5,0.0,0.5
15,-3.0,-34.0,-2.0,4.54,27.0,1.0,0.0,0.0,0.0,0.0
16,-12.0,-37.0,52.0,4.51,27.0,1.0,0.0,0.0,0.0,0.0
