Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,39.0,-22.0,61.0,12.37,21789.0,807.0,0.96,0.98,0.96,0.99
1a,39.0,-19.0,49.0,12.08,,,,,,
2,-6.0,-22.0,73.0,11.24,34722.0,1286.0,0.98,0.99,0.97,0.99
2a,-6.0,-34.0,73.0,11.08,,,,,,
2b,-9.0,-1.0,43.0,6.75,,,,,,
2c,12.0,-43.0,70.0,5.62,,,,,,
3,-18.0,-52.0,-23.0,10.44,7776.0,288.0,0.92,0.95,0.89,0.97
3a,-3.0,-64.0,-20.0,6.05,,,,,,
4,21.0,-34.0,-26.0,9.1,7290.0,270.0,0.93,0.96,0.88,0.96
4a,3.0,-46.0,-8.0,5.88,,,,,,
5,-33.0,-25.0,16.0,8.64,13797.0,511.0,0.95,0.97,0.94,0.98
5a,-33.0,-10.0,7.0,7.29,,,,,,
5b,-51.0,-31.0,19.0,6.87,,,,,,
5c,-54.0,2.0,7.0,5.92,,,,,,
6,-18.0,-61.0,-50.0,7.83,1485.0,55.0,0.78,0.82,0.42,0.84
7,45.0,-16.0,19.0,6.19,810.0,30.0,0.6,0.7,0.0,0.73
8,-6.0,-67.0,-35.0,5.84,297.0,11.0,0.64,0.64,0.0,0.64
9,30.0,-1.0,-5.0,5.79,405.0,15.0,0.47,0.53,0.0,0.6
10,3.0,-67.0,-44.0,5.62,432.0,16.0,0.5,0.62,0.0,0.69
11,3.0,-40.0,-11.0,4.97,27.0,1.0,1.0,1.0,0.0,0.0
12,21.0,-43.0,-50.0,4.62,81.0,3.0,0.0,0.0,0.0,0.0
13,-6.0,-25.0,7.0,4.59,1161.0,43.0,0.35,0.67,0.26,0.74
13a,-6.0,-34.0,1.0,4.47,,,,,,
13b,-3.0,-10.0,13.0,4.35,,,,,,
14,-3.0,-34.0,-2.0,4.54,27.0,1.0,0.0,0.0,0.0,0.0
15,-45.0,-19.0,52.0,4.29,189.0,7.0,0.0,0.0,0.0,0.0
16,-15.0,-31.0,43.0,4.18,27.0,1.0,0.0,0.0,0.0,0.0
17,0.0,-34.0,1.0,4.15,54.0,2.0,0.0,0.0,0.0,0.0
18,-42.0,-25.0,58.0,4.12,54.0,2.0,0.0,0.0,0.0,0.0
19,-18.0,-34.0,-23.0,4.1,81.0,3.0,0.0,0.0,0.0,0.0
