Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,-42.0,17.0,-23.0,5.62,756,28.0,0.93,0.96,0.04,0.96
2,6.0,-67.0,49.0,5.5,918,34.0,0.91,0.94,0.21,0.94
3,-51.0,-7.0,-17.0,5.2,459,17.0,0.82,0.94,0.0,0.88
4,-30.0,38.0,40.0,5.0,135,5.0,0.6,0.8,0.0,0.8
5,-18.0,-13.0,-17.0,4.84,81,3.0,0.33,0.67,0.0,0.67
6,-51.0,32.0,4.0,4.83,378,14.0,0.79,0.86,0.0,0.86
7,-36.0,29.0,-14.0,4.72,135,5.0,0.6,0.8,0.0,0.8
8,3.0,-19.0,31.0,4.71,108,4.0,0.5,0.75,0.0,0.75
9,-33.0,32.0,43.0,4.69,27,1.0,0.0,1.0,0.0,0.0
10,-6.0,-73.0,43.0,4.63,81,3.0,0.0,0.33,0.0,0.33
11,21.0,59.0,-2.0,4.57,27,1.0,0.0,0.0,0.0,0.0
12,-30.0,32.0,46.0,4.56,27,1.0,0.0,0.0,0.0,0.0
