Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,-42.0,17.0,-23.0,5.62,1350.0,50.0,0.6,0.72,0.36,0.8
2,6.0,-67.0,49.0,5.5,3780.0,140.0,0.78,0.89,0.77,0.92
2a,-6.0,-73.0,43.0,4.63,,,,,,
3,-51.0,-7.0,-17.0,5.2,1134.0,42.0,0.55,0.67,0.26,0.76
4,-30.0,38.0,40.0,5.0,1350.0,50.0,0.4,0.7,0.36,0.78
4a,-45.0,26.0,40.0,4.38,,,,,,
4b,-24.0,35.0,34.0,4.34,,,,,,
5,-18.0,-13.0,-17.0,4.84,486.0,18.0,0.06,0.33,0.0,0.5
6,-51.0,32.0,4.0,4.83,2349.0,87.0,0.66,0.83,0.63,0.87
6a,-36.0,29.0,-14.0,4.72,,,,,,
6b,-54.0,32.0,-2.0,4.7,,,,,,
7,3.0,-19.0,31.0,4.71,972.0,36.0,0.31,0.58,0.11,0.72
7a,0.0,-37.0,25.0,4.42,,,,,,
8,21.0,59.0,-2.0,4.57,324.0,12.0,0.0,0.08,0.0,0.33
9,33.0,32.0,49.0,4.47,243.0,9.0,0.0,0.0,0.0,0.0
10,-12.0,-70.0,31.0,4.44,297.0,11.0,0.0,0.09,0.0,0.36
11,3.0,38.0,25.0,4.4,108.0,4.0,0.0,0.0,0.0,0.0
12,27.0,59.0,10.0,4.33,162.0,6.0,0.0,0.0,0.0,0.0
13,0.0,-31.0,46.0,4.3,27.0,1.0,0.0,0.0,0.0,0.0
14,36.0,44.0,28.0,4.12,108.0,4.0,0.0,0.0,0.0,0.0
15,-54.0,-55.0,-35.0,4.11,27.0,1.0,0.0,0.0,0.0,0.0
16,54.0,-52.0,40.0,4.09,27.0,1.0,0.0,0.0,0.0,0.0
17,45.0,20.0,-29.0,4.08,27.0,1.0,0.0,0.0,0.0,0.0
18,-42.0,23.0,22.0,4.08,27.0,1.0,0.0,0.0,0.0,0.0
19,48.0,-64.0,13.0,4.08,54.0,2.0,0.0,0.0,0.0,0.0
20,-18.0,5.0,1.0,4.05,27.0,1.0,0.0,0.0,0.0,0.0
21,30.0,62.0,-11.0,4.05,27.0,1.0,0.0,0.0,0.0,0.0
22,30.0,50.0,31.0,4.03,27.0,1.0,0.0,0.0,0.0,0.0
23,-21.0,-1.0,7.0,4.02,27.0,1.0,0.0,0.0,0.0,0.0
24,6.0,47.0,1.0,4.01,27.0,1.0,0.0,0.0,0.0,0.0
