Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,15.0,-52.0,13.0,9.07,3969,0.87,0.89,0.79
2,-15.0,-58.0,13.0,8.15,3132,0.80,0.85,0.73
3,30.0,-40.0,-11.0,7.46,7803,0.90,0.94,0.89
3a,33.0,-22.0,-26.0,5.16,,,,
4,-27.0,-43.0,-11.0,6.91,9099,0.91,0.95,0.91
4a,-27.0,-22.0,-23.0,5.36,,,,
4b,-21.0,-73.0,-14.0,4.70,,,,
4c,-27.0,-70.0,-20.0,4.70,,,,
5,-33.0,-82.0,34.0,5.66,4860,0.84,0.90,0.83
6,36.0,-82.0,25.0,5.36,3861,0.80,0.88,0.78
6a,36.0,-76.0,37.0,4.90,,,,
7,-9.0,-37.0,43.0,4.99,3078,0.74,0.84,0.72
7a,12.0,-46.0,46.0,4.53,,,,
7b,-9.0,-49.0,46.0,4.47,,,,
8,21.0,-73.0,-17.0,4.50,567,0.00,0.14,0.00
9,-18.0,-91.0,-5.0,4.32,189,0.00,0.00,0.00
10,-24.0,-88.0,-5.0,4.13,27,0.00,0.00,0.00
11,36.0,-46.0,-29.0,4.09,54,0.00,0.00,0.00
12,-42.0,-37.0,10.0,4.09,27,0.00,0.00,0.00
13,24.0,-73.0,-8.0,4.01,27,0.00,0.00,0.00
