Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,57.0,-31.0,31.0,6.87,1593,1.00,1.00,0.54,0.98
2,24.0,-94.0,7.0,6.69,3942,1.00,1.00,0.82,0.99
2a,27.0,-88.0,-2.0,6.60,,,,,
3,54.0,11.0,7.0,6.32,351,1.00,1.00,0.00,0.92
4,-24.0,-88.0,-5.0,6.28,2295,1.00,1.00,0.68,0.99
4a,-21.0,-94.0,4.0,6.07,,,,,
4b,-12.0,-88.0,-5.0,5.95,,,,,
5,-60.0,-34.0,25.0,6.16,810,1.00,1.00,0.10,0.97
5a,-54.0,-31.0,19.0,5.84,,,,,
6,51.0,-58.0,43.0,6.14,864,1.00,1.00,0.16,0.97
6a,54.0,-55.0,34.0,5.85,,,,,
7,3.0,-58.0,67.0,5.99,405,1.00,1.00,0.00,0.93
8,-51.0,-37.0,4.0,5.93,270,1.00,1.00,0.00,0.90
9,48.0,-22.0,37.0,5.86,162,1.00,1.00,0.00,0.83
10,-42.0,-58.0,43.0,5.77,243,1.00,1.00,0.00,0.89
11,3.0,-73.0,46.0,5.67,108,1.00,1.00,0.00,0.75
12,0.0,-25.0,31.0,5.64,54,1.00,1.00,0.00,0.50
13,-9.0,-61.0,64.0,5.60,81,1.00,1.00,0.00,0.67
14,3.0,-97.0,22.0,5.56,54,1.00,1.00,0.00,0.50
