Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,57.0,-31.0,31.0,6.87,20385.0,755.0,0.97,0.98,0.96,0.99
1a,51.0,-58.0,43.0,6.14,,,,,,
1b,48.0,-22.0,37.0,5.86,,,,,,
1c,54.0,-55.0,34.0,5.85,,,,,,
2,24.0,-94.0,7.0,6.69,10260.0,380.0,0.93,0.97,0.91,0.97
2a,27.0,-88.0,-2.0,6.6,,,,,,
3,54.0,11.0,7.0,6.32,2700.0,100.0,0.77,0.87,0.67,0.9
4,-24.0,-88.0,-5.0,6.28,12879.0,477.0,0.95,0.97,0.93,0.98
4a,-21.0,-94.0,4.0,6.07,,,,,,
4b,-12.0,-88.0,-5.0,5.95,,,,,,
5,-60.0,-34.0,25.0,6.16,13635.0,505.0,0.95,0.97,0.93,0.98
5a,-54.0,-31.0,19.0,5.84,,,,,,
5b,-42.0,-58.0,43.0,5.77,,,,,,
5c,-57.0,-22.0,43.0,4.45,,,,,,
6,3.0,-58.0,67.0,5.99,31725.0,1175.0,0.98,0.99,0.97,0.99
6a,3.0,-73.0,46.0,5.67,,,,,,
6b,0.0,-25.0,31.0,5.64,,,,,,
6c,-9.0,-61.0,64.0,5.6,,,,,,
7,-51.0,-37.0,4.0,5.93,1917.0,71.0,0.7,0.85,0.54,0.87
8,3.0,-97.0,22.0,5.56,2160.0,80.0,0.7,0.84,0.59,0.88
8a,3.0,-91.0,34.0,5.14,,,,,,
9,-54.0,-4.0,49.0,5.29,999.0,37.0,0.51,0.7,0.11,0.73
10,-54.0,-73.0,1.0,5.27,2268.0,84.0,0.73,0.86,0.62,0.88
10a,-48.0,-82.0,10.0,5.02,,,,,,
11,63.0,-25.0,-14.0,5.26,1215.0,45.0,0.47,0.73,0.27,0.78
12,27.0,-43.0,61.0,5.06,4347.0,161.0,0.84,0.92,0.8,0.94
12a,45.0,-40.0,61.0,4.47,,,,,,
12b,51.0,-31.0,58.0,4.33,,,,,,
13,-60.0,-22.0,-29.0,5.03,891.0,33.0,0.58,0.76,0.03,0.76
14,48.0,-31.0,4.0,5.02,459.0,17.0,0.35,0.53,0.0,0.53
15,-51.0,-67.0,-35.0,4.88,837.0,31.0,0.35,0.61,0.0,0.68
15a,-48.0,-76.0,-35.0,4.25,,,,,,
16,36.0,2.0,10.0,4.86,648.0,24.0,0.33,0.54,0.0,0.58
17,57.0,-70.0,10.0,4.79,1242.0,46.0,0.43,0.72,0.28,0.78
17a,57.0,-67.0,-5.0,4.36,,,,,,
18,-30.0,-16.0,61.0,4.76,1485.0,55.0,0.6,0.78,0.4,0.82
18a,-21.0,-16.0,64.0,4.73,,,,,,
19,-54.0,-10.0,-5.0,4.65,648.0,24.0,0.29,0.46,0.0,0.58
20,15.0,11.0,-26.0,4.63,162.0,6.0,0.0,0.17,0.0,0.17
21,-24.0,-52.0,-20.0,4.6,513.0,19.0,0.11,0.47,0.0,0.53
22,-12.0,-55.0,28.0,4.59,324.0,12.0,0.08,0.17,0.0,0.25
23,-27.0,-67.0,-23.0,4.54,432.0,16.0,0.0,0.19,0.0,0.38
24,-9.0,2.0,40.0,4.52,216.0,8.0,0.0,0.0,0.0,0.0
25,60.0,-58.0,-23.0,4.52,135.0,5.0,0.0,0.0,0.0,0.0
26,-27.0,50.0,-17.0,4.51,108.0,4.0,0.0,0.0,0.0,0.0
27,3.0,-73.0,1.0,4.44,189.0,7.0,0.0,0.14,0.0,0.14
28,30.0,53.0,-17.0,4.4,135.0,5.0,0.0,0.0,0.0,0.0
29,33.0,-13.0,58.0,4.37,351.0,13.0,0.0,0.08,0.0,0.31
29a,27.0,-10.0,64.0,4.28,,,,,,
30,-60.0,5.0,7.0,4.34,108.0,4.0,0.0,0.0,0.0,0.0
31,-6.0,5.0,61.0,4.33,189.0,7.0,0.0,0.0,0.0,0.0
32,-54.0,-31.0,55.0,4.33,27.0,1.0,0.0,0.0,0.0,0.0
33,0.0,-91.0,-26.0,4.29,162.0,6.0,0.0,0.0,0.0,0.0
34,-54.0,32.0,13.0,4.28,27.0,1.0,0.0,0.0,0.0,0.0
35,-48.0,-4.0,7.0,4.27,243.0,9.0,0.0,0.0,0.0,0.0
36,-63.0,-31.0,-14.0,4.21,162.0,6.0,0.0,0.0,0.0,0.0
37,-45.0,-4.0,58.0,4.2,27.0,1.0,0.0,0.0,0.0,0.0
38,54.0,-22.0,-32.0,4.19,81.0,3.0,0.0,0.0,0.0,0.0
39,-45.0,-58.0,-32.0,4.12,27.0,1.0,0.0,0.0,0.0,0.0
40,54.0,-28.0,-26.0,4.12,27.0,1.0,0.0,0.0,0.0,0.0
41,-33.0,-58.0,-23.0,4.1,27.0,1.0,0.0,0.0,0.0,0.0
42,-57.0,-10.0,-38.0,4.1,54.0,2.0,0.0,0.0,0.0,0.0
43,-51.0,-34.0,58.0,4.1,54.0,2.0,0.0,0.0,0.0,0.0
44,6.0,35.0,28.0,4.04,27.0,1.0,0.0,0.0,0.0,0.0
45,-15.0,-43.0,46.0,4.04,27.0,1.0,0.0,0.0,0.0,0.0
46,-48.0,-4.0,55.0,4.04,27.0,1.0,0.0,0.0,0.0,0.0
47,3.0,-82.0,-20.0,4.03,27.0,1.0,0.0,0.0,0.0,0.0
48,-51.0,-61.0,-23.0,4.02,27.0,1.0,0.0,0.0,0.0,0.0
49,18.0,-79.0,10.0,4.02,27.0,1.0,0.0,0.0,0.0,0.0
50,0.0,-91.0,-20.0,4.01,27.0,1.0,0.0,0.0,0.0,0.0
51,-66.0,-43.0,-17.0,4.0,27.0,1.0,0.0,0.0,0.0,0.0
