Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,57.0,-31.0,31.0,6.87,149607.0,5541.0,0.81,0.91,0.95,0.92
1a,-60.0,-34.0,25.0,6.16,,,,,,
1b,51.0,-58.0,43.0,6.14,,,,,,
1c,3.0,-58.0,67.0,5.99,,,,,,
2,24.0,-94.0,7.0,6.69,14661.0,543.0,0.67,0.72,0.72,0.73
2a,27.0,-88.0,-2.0,6.6,,,,,,
3,54.0,11.0,7.0,6.32,9342.0,346.0,0.3,0.4,0.44,0.42
3a,36.0,2.0,10.0,4.86,,,,,,
4,-24.0,-88.0,-5.0,6.28,19116.0,708.0,0.65,0.72,0.73,0.74
4a,-21.0,-94.0,4.0,6.07,,,,,,
4b,-12.0,-88.0,-5.0,5.95,,,,,,
4c,-39.0,-67.0,-11.0,3.74,,,,,,
5,-51.0,-37.0,4.0,5.93,5967.0,221.0,0.32,0.41,0.36,0.44
5a,-54.0,-10.0,-5.0,4.65,,,,,,
6,-54.0,-4.0,49.0,5.29,3537.0,131.0,0.15,0.21,0.14,0.22
6a,-45.0,-4.0,58.0,4.2,,,,,,
6b,-42.0,2.0,31.0,3.16,,,,,,
7,-54.0,-73.0,1.0,5.27,4833.0,179.0,0.34,0.43,0.37,0.46
7a,-48.0,-82.0,10.0,5.02,,,,,,
8,63.0,-25.0,-14.0,5.26,5184.0,192.0,0.13,0.23,0.2,0.26
8a,54.0,-22.0,-32.0,4.19,,,,,,
8b,54.0,-28.0,-26.0,4.12,,,,,,
8c,54.0,-13.0,-35.0,3.65,,,,,,
9,-60.0,-22.0,-29.0,5.03,4617.0,171.0,0.12,0.22,0.23,0.27
9a,-63.0,-31.0,-14.0,4.21,,,,,,
9b,-57.0,-10.0,-38.0,4.1,,,,,,
9c,-66.0,-43.0,-17.0,4.0,,,,,,
10,48.0,-31.0,4.0,5.02,864.0,32.0,0.19,0.28,0.0,0.28
11,-51.0,-67.0,-35.0,4.88,12582.0,466.0,0.15,0.33,0.44,0.39
11a,-24.0,-52.0,-20.0,4.6,,,,,,
11b,-27.0,-67.0,-23.0,4.54,,,,,,
11c,-18.0,-49.0,-20.0,4.54,,,,,,
12,57.0,-70.0,10.0,4.79,9342.0,346.0,0.07,0.18,0.3,0.21
12a,60.0,-58.0,-23.0,4.52,,,,,,
12b,57.0,-67.0,-5.0,4.36,,,,,,
12c,54.0,-64.0,-35.0,3.61,,,,,,
13,15.0,11.0,-26.0,4.63,1539.0,57.0,0.0,0.02,0.0,0.02
13a,30.0,17.0,-11.0,3.78,,,,,,
14,-9.0,2.0,40.0,4.52,5859.0,217.0,0.0,0.09,0.11,0.13
14a,33.0,-13.0,58.0,4.37,,,,,,
14b,27.0,-10.0,64.0,4.28,,,,,,
14c,9.0,-4.0,58.0,3.87,,,,,,
15,-27.0,50.0,-17.0,4.51,918.0,34.0,0.0,0.0,0.0,0.0
15a,-33.0,56.0,-17.0,3.84,,,,,,
16,3.0,-73.0,1.0,4.44,1053.0,39.0,0.0,0.03,0.0,0.03
17,30.0,53.0,-17.0,4.4,945.0,35.0,0.0,0.0,0.0,0.0
18,-60.0,5.0,7.0,4.34,3996.0,148.0,0.0,0.03,0.0,0.05
18a,-48.0,-4.0,7.0,4.27,,,,,,
18b,-33.0,-1.0,10.0,3.99,,,,,,
18c,-36.0,14.0,1.0,3.58,,,,,,
19,-6.0,5.0,61.0,4.33,864.0,32.0,0.0,0.0,0.0,0.0
20,0.0,-91.0,-26.0,4.29,3213.0,119.0,0.0,0.0,0.0,0.0
20a,3.0,-82.0,-20.0,4.03,,,,,,
20b,0.0,-91.0,-20.0,4.01,,,,,,
20c,0.0,-85.0,-35.0,3.98,,,,,,
21,-54.0,32.0,13.0,4.28,513.0,19.0,0.0,0.0,0.0,0.0
22,6.0,35.0,28.0,4.04,1620.0,60.0,0.0,0.0,0.0,0.0
22a,6.0,32.0,37.0,3.56,,,,,,
22b,6.0,41.0,16.0,3.1,,,,,,
23,3.0,-22.0,-5.0,3.99,297.0,11.0,0.0,0.0,0.0,0.0
24,-9.0,62.0,34.0,3.96,243.0,9.0,0.0,0.0,0.0,0.0
25,-39.0,35.0,-14.0,3.95,189.0,7.0,0.0,0.0,0.0,0.0
26,-42.0,17.0,22.0,3.91,1161.0,43.0,0.0,0.0,0.0,0.0
27,-12.0,-34.0,-2.0,3.85,459.0,17.0,0.0,0.0,0.0,0.0
28,42.0,47.0,4.0,3.84,1323.0,49.0,0.0,0.0,0.0,0.0
29,-42.0,56.0,4.0,3.81,1512.0,56.0,0.0,0.0,0.0,0.0
29a,-36.0,59.0,-2.0,3.36,,,,,,
30,-42.0,-46.0,-11.0,3.71,135.0,5.0,0.0,0.0,0.0,0.0
31,21.0,-52.0,-17.0,3.64,432.0,16.0,0.0,0.0,0.0,0.0
32,39.0,20.0,46.0,3.56,351.0,13.0,0.0,0.0,0.0,0.0
33,-18.0,14.0,-26.0,3.54,378.0,14.0,0.0,0.0,0.0,0.0
33a,-12.0,20.0,-26.0,3.13,,,,,,
34,-30.0,14.0,-14.0,3.53,594.0,22.0,0.0,0.0,0.0,0.0
35,12.0,-46.0,-35.0,3.52,135.0,5.0,0.0,0.0,0.0,0.0
36,27.0,-22.0,-29.0,3.49,162.0,6.0,0.0,0.0,0.0,0.0
37,-18.0,-22.0,19.0,3.47,162.0,6.0,0.0,0.0,0.0,0.0
38,36.0,-16.0,1.0,3.44,189.0,7.0,0.0,0.0,0.0,0.0
39,-6.0,35.0,25.0,3.38,567.0,21.0,0.0,0.0,0.0,0.0
39a,-6.0,26.0,22.0,3.37,,,,,,
40,-24.0,-34.0,-17.0,3.37,108.0,4.0,0.0,0.0,0.0,0.0
41,-9.0,-13.0,61.0,3.36,108.0,4.0,0.0,0.0,0.0,0.0
42,-24.0,47.0,34.0,3.35,351.0,13.0,0.0,0.0,0.0,0.0
43,21.0,-28.0,25.0,3.35,27.0,1.0,0.0,0.0,0.0,0.0
44,3.0,-103.0,4.0,3.34,54.0,2.0,0.0,0.0,0.0,0.0
45,-48.0,47.0,-5.0,3.34,27.0,1.0,0.0,0.0,0.0,0.0
46,-54.0,26.0,25.0,3.32,108.0,4.0,0.0,0.0,0.0,0.0
47,57.0,-1.0,-14.0,3.28,162.0,6.0,0.0,0.0,0.0,0.0
48,-15.0,-7.0,-38.0,3.27,27.0,1.0,0.0,0.0,0.0,0.0
49,36.0,62.0,-8.0,3.27,27.0,1.0,0.0,0.0,0.0,0.0
50,21.0,23.0,46.0,3.26,162.0,6.0,0.0,0.0,0.0,0.0
50a,21.0,32.0,46.0,3.07,,,,,,
51,18.0,-52.0,1.0,3.26,216.0,8.0,0.0,0.0,0.0,0.0
52,-27.0,-58.0,1.0,3.24,27.0,1.0,0.0,0.0,0.0,0.0
53,12.0,-1.0,-35.0,3.24,162.0,6.0,0.0,0.0,0.0,0.0
54,51.0,38.0,-17.0,3.24,81.0,3.0,0.0,0.0,0.0,0.0
55,-15.0,-19.0,28.0,3.24,54.0,2.0,0.0,0.0,0.0,0.0
56,36.0,29.0,-20.0,3.22,27.0,1.0,0.0,0.0,0.0,0.0
57,27.0,-64.0,-50.0,3.22,54.0,2.0,0.0,0.0,0.0,0.0
58,42.0,-19.0,37.0,3.22,27.0,1.0,0.0,0.0,0.0,0.0
59,-12.0,-49.0,1.0,3.21,54.0,2.0,0.0,0.0,0.0,0.0
60,30.0,-46.0,-26.0,3.21,54.0,2.0,0.0,0.0,0.0,0.0
61,-9.0,-7.0,52.0,3.2,108.0,4.0,0.0,0.0,0.0,0.0
62,-42.0,-1.0,-32.0,3.19,27.0,1.0,0.0,0.0,0.0,0.0
63,30.0,59.0,13.0,3.15,108.0,4.0,0.0,0.0,0.0,0.0
64,18.0,2.0,-29.0,3.13,54.0,2.0,0.0,0.0,0.0,0.0
65,-51.0,14.0,-5.0,3.12,54.0,2.0,0.0,0.0,0.0,0.0
66,6.0,-25.0,-47.0,3.11,27.0,1.0,0.0,0.0,0.0,0.0
67,3.0,-58.0,-41.0,3.11,27.0,1.0,0.0,0.0,0.0,0.0
68,51.0,-55.0,-47.0,3.11,27.0,1.0,0.0,0.0,0.0,0.0
69,-48.0,-10.0,58.0,3.1,27.0,1.0,0.0,0.0,0.0,0.0
70,57.0,-10.0,-32.0,3.09,27.0,1.0,0.0,0.0,0.0,0.0
71,-36.0,5.0,-29.0,3.08,27.0,1.0,0.0,0.0,0.0,0.0
72,18.0,-40.0,-41.0,3.08,27.0,1.0,0.0,0.0,0.0,0.0
73,-36.0,-22.0,-14.0,3.08,27.0,1.0,0.0,0.0,0.0,0.0
74,21.0,2.0,-26.0,3.07,27.0,1.0,0.0,0.0,0.0,0.0
75,24.0,65.0,16.0,3.07,54.0,2.0,0.0,0.0,0.0,0.0
76,-36.0,38.0,28.0,3.07,108.0,4.0,0.0,0.0,0.0,0.0
77,42.0,-76.0,-26.0,3.07,27.0,1.0,0.0,0.0,0.0,0.0
78,36.0,-34.0,37.0,3.06,27.0,1.0,0.0,0.0,0.0,0.0
79,48.0,-52.0,-50.0,3.06,27.0,1.0,0.0,0.0,0.0,0.0
80,-30.0,56.0,19.0,3.06,27.0,1.0,0.0,0.0,0.0,0.0
81,21.0,53.0,31.0,3.05,27.0,1.0,0.0,0.0,0.0,0.0
82,51.0,-7.0,-17.0,3.05,54.0,2.0,0.0,0.0,0.0,0.0
83,-9.0,56.0,7.0,3.05,27.0,1.0,0.0,0.0,0.0,0.0
84,-48.0,-55.0,-50.0,3.05,27.0,1.0,0.0,0.0,0.0,0.0
85,39.0,59.0,-5.0,3.04,27.0,1.0,0.0,0.0,0.0,0.0
86,57.0,-4.0,49.0,3.04,27.0,1.0,0.0,0.0,0.0,0.0
87,30.0,-85.0,-32.0,3.03,27.0,1.0,0.0,0.0,0.0,0.0
88,-3.0,20.0,22.0,3.03,27.0,1.0,0.0,0.0,0.0,0.0
89,-21.0,-28.0,-8.0,3.03,54.0,2.0,0.0,0.0,0.0,0.0
90,18.0,5.0,-35.0,3.02,27.0,1.0,0.0,0.0,0.0,0.0
91,57.0,2.0,46.0,3.02,27.0,1.0,0.0,0.0,0.0,0.0
92,33.0,26.0,-17.0,3.01,54.0,2.0,0.0,0.0,0.0,0.0
93,-21.0,-40.0,10.0,3.0,27.0,1.0,0.0,0.0,0.0,0.0
