Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,57.0,-31.0,31.0,6.87,108810.0,4030.0,0.95,0.98,0.98,0.98
1a,-60.0,-34.0,25.0,6.16,,,,,,
1b,51.0,-58.0,43.0,6.14,,,,,,
1c,3.0,-58.0,67.0,5.99,,,,,,
2,24.0,-94.0,7.0,6.69,12420.0,460.0,0.79,0.85,0.85,0.87
2a,27.0,-88.0,-2.0,6.6,,,,,,
3,54.0,11.0,7.0,6.32,5562.0,206.0,0.51,0.67,0.67,0.71
3a,36.0,2.0,10.0,4.86,,,,,,
4,-24.0,-88.0,-5.0,6.28,15930.0,590.0,0.77,0.86,0.88,0.88
4a,-21.0,-94.0,4.0,6.07,,,,,,
4b,-12.0,-88.0,-5.0,5.95,,,,,,
5,-51.0,-37.0,4.0,5.93,2646.0,98.0,0.51,0.61,0.42,0.63
6,-54.0,-4.0,49.0,5.29,2187.0,81.0,0.25,0.33,0.22,0.36
6a,-45.0,-4.0,58.0,4.2,,,,,,
7,-54.0,-73.0,1.0,5.27,3672.0,136.0,0.45,0.57,0.49,0.6
7a,-48.0,-82.0,10.0,5.02,,,,,,
8,63.0,-25.0,-14.0,5.26,2916.0,108.0,0.23,0.42,0.35,0.46
8a,54.0,-22.0,-32.0,4.19,,,,,,
8b,54.0,-28.0,-26.0,4.12,,,,,,
9,-60.0,-22.0,-29.0,5.03,2025.0,75.0,0.25,0.36,0.16,0.39
9a,-57.0,-10.0,-38.0,4.1,,,,,,
10,48.0,-31.0,4.0,5.02,648.0,24.0,0.25,0.38,0.0,0.38
11,-51.0,-67.0,-35.0,4.88,5562.0,206.0,0.31,0.58,0.65,0.65
11a,-24.0,-52.0,-20.0,4.6,,,,,,
11b,-27.0,-67.0,-23.0,4.54,,,,,,
11c,-18.0,-49.0,-20.0,4.54,,,,,,
12,57.0,-70.0,10.0,4.79,3051.0,113.0,0.18,0.38,0.36,0.44
12a,57.0,-67.0,-5.0,4.36,,,,,,
13,-30.0,-16.0,61.0,4.76,2862.0,106.0,0.31,0.46,0.38,0.51
13a,-21.0,-16.0,64.0,4.73,,,,,,
14,-54.0,-10.0,-5.0,4.65,1377.0,51.0,0.14,0.25,0.0,0.31
15,15.0,11.0,-26.0,4.63,297.0,11.0,0.0,0.09,0.0,0.09
16,-9.0,2.0,40.0,4.52,972.0,36.0,0.0,0.0,0.0,0.0
16a,6.0,-1.0,46.0,3.75,,,,,,
17,60.0,-58.0,-23.0,4.52,837.0,31.0,0.0,0.0,0.0,0.0
18,-27.0,50.0,-17.0,4.51,513.0,19.0,0.0,0.0,0.0,0.0
18a,-33.0,56.0,-17.0,3.84,,,,,,
19,3.0,-73.0,1.0,4.44,540.0,20.0,0.0,0.05,0.0,0.05
20,30.0,53.0,-17.0,4.4,567.0,21.0,0.0,0.0,0.0,0.0
21,33.0,-13.0,58.0,4.37,1323.0,49.0,0.0,0.02,0.0,0.1
21a,27.0,-10.0,64.0,4.28,,,,,,
21b,18.0,-7.0,61.0,3.75,,,,,,
22,-60.0,5.0,7.0,4.34,459.0,17.0,0.0,0.0,0.0,0.0
23,-6.0,5.0,61.0,4.33,459.0,17.0,0.0,0.0,0.0,0.0
24,0.0,-91.0,-26.0,4.29,1350.0,50.0,0.0,0.0,0.0,0.0
24a,3.0,-82.0,-20.0,4.03,,,,,,
24b,0.0,-91.0,-20.0,4.01,,,,,,
24c,0.0,-85.0,-35.0,3.98,,,,,,
25,-54.0,32.0,13.0,4.28,162.0,6.0,0.0,0.0,0.0,0.0
26,-48.0,-4.0,7.0,4.27,1134.0,42.0,0.0,0.0,0.0,0.05
26a,-33.0,-1.0,10.0,3.99,,,,,,
27,-63.0,-31.0,-14.0,4.21,891.0,33.0,0.0,0.0,0.0,0.0
27a,-66.0,-43.0,-17.0,4.0,,,,,,
28,6.0,35.0,28.0,4.04,324.0,12.0,0.0,0.0,0.0,0.0
29,-15.0,-43.0,46.0,4.04,81.0,3.0,0.0,0.0,0.0,0.0
30,-51.0,-61.0,-23.0,4.02,594.0,22.0,0.0,0.0,0.0,0.0
31,3.0,-22.0,-5.0,3.99,81.0,3.0,0.0,0.0,0.0,0.0
32,-9.0,62.0,34.0,3.96,81.0,3.0,0.0,0.0,0.0,0.0
33,-39.0,35.0,-14.0,3.95,54.0,2.0,0.0,0.0,0.0,0.0
34,-42.0,17.0,22.0,3.91,513.0,19.0,0.0,0.0,0.0,0.0
35,9.0,-4.0,58.0,3.87,216.0,8.0,0.0,0.0,0.0,0.0
36,-12.0,-34.0,-2.0,3.85,135.0,5.0,0.0,0.0,0.0,0.0
37,42.0,47.0,4.0,3.84,243.0,9.0,0.0,0.0,0.0,0.0
38,-42.0,56.0,4.0,3.81,162.0,6.0,0.0,0.0,0.0,0.0
