Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,57.0,-31.0,31.0,6.87,4536,1.00,1.00,0.84
1a,48.0,-22.0,37.0,5.86,,,,
2,24.0,-94.0,7.0,6.69,6426,1.00,1.00,0.89
2a,27.0,-88.0,-2.0,6.60,,,,
3,54.0,11.0,7.0,6.32,945,1.00,1.00,0.23
4,-24.0,-88.0,-5.0,6.28,5940,1.00,1.00,0.88
4a,-21.0,-94.0,4.0,6.07,,,,
4b,-12.0,-88.0,-5.0,5.95,,,,
5,-60.0,-34.0,25.0,6.16,2592,1.00,1.00,0.72
5a,-54.0,-31.0,19.0,5.84,,,,
6,51.0,-58.0,43.0,6.14,2727,1.00,1.00,0.73
6a,54.0,-55.0,34.0,5.85,,,,
6b,51.0,-46.0,31.0,5.18,,,,
7,3.0,-58.0,67.0,5.99,2511,1.00,1.00,0.71
7a,-9.0,-61.0,64.0,5.60,,,,
8,-51.0,-37.0,4.0,5.93,756,1.00,1.00,0.04
9,-42.0,-58.0,43.0,5.77,1215,1.00,1.00,0.40
10,3.0,-73.0,46.0,5.67,864,1.00,1.00,0.16
11,0.0,-25.0,31.0,5.64,513,1.00,1.00,0.00
12,3.0,-97.0,22.0,5.56,567,1.00,1.00,0.00
12a,3.0,-91.0,34.0,5.14,,,,
13,-33.0,-43.0,64.0,5.49,351,1.00,1.00,0.00
14,12.0,-49.0,31.0,5.30,81,1.00,1.00,0.00
15,-54.0,-4.0,49.0,5.29,54,1.00,1.00,0.00
16,-54.0,-73.0,1.0,5.27,108,1.00,1.00,0.00
17,63.0,-25.0,-14.0,5.26,81,1.00,1.00,0.00
18,6.0,-64.0,34.0,5.22,243,1.00,1.00,0.00
19,-30.0,-37.0,49.0,5.16,27,1.00,1.00,0.00
20,0.0,-52.0,55.0,5.13,54,1.00,1.00,0.00
21,-9.0,-67.0,37.0,5.11,108,1.00,1.00,0.00
22,27.0,-43.0,61.0,5.06,27,1.00,1.00,0.00
23,-60.0,-22.0,-29.0,5.03,27,1.00,1.00,0.00
24,48.0,-31.0,4.0,5.02,27,1.00,1.00,0.00
25,-48.0,-82.0,10.0,5.02,27,1.00,1.00,0.00
26,0.0,-61.0,55.0,5.02,27,1.00,1.00,0.00
27,9.0,-55.0,37.0,5.00,27,1.00,1.00,0.00
