Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,39.0,-19.0,61.0,11.87,17307,0.89,0.91,0.91
2,6.0,-28.0,73.0,11.55,38556,0.87,0.93,0.96
2a,6.0,-19.0,76.0,11.36,,,,
2b,-12.0,-46.0,67.0,7.73,,,,
2c,-12.0,-40.0,52.0,4.69,,,,
3,-15.0,-37.0,-23.0,9.64,5049,0.80,0.80,0.73
3a,-21.0,-31.0,-29.0,9.57,,,,
4,-18.0,-52.0,-20.0,9.51,6129,0.71,0.75,0.74
4a,-3.0,-64.0,-17.0,5.54,,,,
5,33.0,-22.0,16.0,7.50,7695,0.63,0.71,0.79
5a,48.0,-31.0,28.0,6.57,,,,
6,-48.0,-31.0,22.0,6.78,8289,0.63,0.70,0.79
6a,-33.0,-22.0,16.0,5.10,,,,
7,-45.0,5.0,1.0,6.45,10449,0.67,0.75,0.84
7a,-54.0,2.0,10.0,6.13,,,,
8,-3.0,-1.0,46.0,6.34,8181,0.58,0.69,0.80
8a,6.0,23.0,31.0,4.12,,,,
9,21.0,-37.0,-23.0,6.05,2592,0.45,0.57,0.49
10,-15.0,-61.0,-50.0,5.82,810,0.53,0.57,0.00
11,-6.0,-67.0,-35.0,5.41,405,0.20,0.20,0.00
12,51.0,5.0,1.0,5.35,4617,0.34,0.46,0.63
12a,36.0,11.0,10.0,4.96,,,,
12b,48.0,11.0,-2.0,4.85,,,,
13,6.0,-22.0,10.0,4.94,1296,0.12,0.15,0.00
14,-39.0,-19.0,1.0,4.75,621,0.04,0.04,0.00
15,-21.0,-40.0,-50.0,4.38,216,0.00,0.00,0.00
16,0.0,-67.0,-44.0,4.26,162,0.00,0.00,0.00
17,-27.0,-10.0,55.0,4.12,540,0.00,0.00,0.00
18,15.0,-31.0,43.0,4.08,351,0.00,0.00,0.00
19,45.0,-4.0,-35.0,4.00,108,0.00,0.00,0.00
20,0.0,-37.0,1.0,3.71,54,0.00,0.00,0.00
21,-3.0,-37.0,-5.0,3.68,27,0.00,0.00,0.00
22,-33.0,41.0,25.0,3.65,54,0.00,0.00,0.00
23,-30.0,44.0,28.0,3.62,27,0.00,0.00,0.00
24,42.0,2.0,-11.0,3.60,27,0.00,0.00,0.00
25,-63.0,-7.0,-26.0,3.59,27,0.00,0.00,0.00
26,0.0,29.0,34.0,3.55,27,0.00,0.00,0.00
27,0.0,-49.0,-2.0,3.55,27,0.00,0.00,0.00
28,6.0,32.0,25.0,3.50,27,0.00,0.00,0.00
