Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,18.0,-49.0,4.0,5.2,243.0,9.0,0.33,0.33,0.0,0.33
2,30.0,-97.0,-11.0,5.19,1269.0,47.0,0.51,0.7,0.32,0.74
3,-24.0,-97.0,-17.0,5.14,1350.0,50.0,0.52,0.72,0.36,0.76
3a,-33.0,-91.0,-17.0,4.85,,,,,,
4,48.0,-40.0,58.0,5.05,1323.0,49.0,0.57,0.71,0.35,0.76
5,-39.0,-70.0,-35.0,4.98,1917.0,71.0,0.62,0.79,0.55,0.83
5a,-42.0,-70.0,-20.0,4.13,,,,,,
6,54.0,-52.0,40.0,4.97,756.0,28.0,0.21,0.46,0.0,0.57
7,15.0,-61.0,-23.0,4.97,783.0,29.0,0.17,0.52,0.0,0.59
7a,18.0,-46.0,-29.0,4.31,,,,,,
8,-57.0,-4.0,-5.0,4.82,270.0,10.0,0.2,0.2,0.0,0.3
9,-12.0,-7.0,16.0,4.8,297.0,11.0,0.27,0.27,0.0,0.36
10,-15.0,-43.0,-26.0,4.62,324.0,12.0,0.08,0.25,0.0,0.42
11,-54.0,-10.0,43.0,4.62,378.0,14.0,0.0,0.14,0.0,0.36
12,27.0,-40.0,61.0,4.61,189.0,7.0,0.0,0.0,0.0,0.14
13,42.0,2.0,-8.0,4.59,297.0,11.0,0.27,0.36,0.0,0.55
14,36.0,-10.0,4.0,4.59,189.0,7.0,0.0,0.0,0.0,0.0
15,15.0,38.0,49.0,4.58,216.0,8.0,0.0,0.12,0.0,0.25
16,30.0,-82.0,-38.0,4.57,864.0,32.0,0.25,0.56,0.0,0.66
16a,42.0,-76.0,-44.0,4.26,,,,,,
17,30.0,35.0,46.0,4.55,864.0,32.0,0.22,0.56,0.0,0.62
17a,39.0,32.0,43.0,4.51,,,,,,
18,-27.0,-91.0,-32.0,4.53,405.0,15.0,0.0,0.07,0.0,0.2
