Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-6.0,-103.0,7.0,15.56,205929,1.00,1.00,1.00
1a,12.0,-97.0,16.0,15.52,,,,
1b,27.0,-85.0,22.0,13.98,,,,
1c,3.0,-79.0,-2.0,13.95,,,,
2,-48.0,-22.0,16.0,12.79,39690,1.00,0.99,0.98
2a,-42.0,-4.0,13.0,9.23,,,,
2b,-51.0,-40.0,22.0,8.95,,,,
2c,-60.0,-28.0,-2.0,7.86,,,,
3,-42.0,-16.0,61.0,12.31,28809,1.00,0.99,0.97
3a,-36.0,-25.0,52.0,11.64,,,,
3b,-54.0,-19.0,49.0,11.04,,,,
3c,-3.0,-7.0,52.0,8.51,,,,
4,24.0,-52.0,-26.0,11.80,31644,1.00,0.99,0.98
4a,6.0,-64.0,-20.0,8.94,,,,
4b,-15.0,-79.0,-35.0,7.53,,,,
4c,-15.0,-88.0,-32.0,7.31,,,,
5,60.0,-28.0,-5.0,9.66,23760,1.00,0.99,0.97
5a,69.0,-43.0,4.0,7.54,,,,
5b,60.0,-16.0,16.0,6.66,,,,
5c,42.0,-52.0,43.0,6.34,,,,
6,-30.0,35.0,-14.0,8.85,5481,0.99,0.96,0.87
6a,-21.0,17.0,-23.0,5.61,,,,
6b,-42.0,23.0,-29.0,5.25,,,,
7,-18.0,-97.0,-11.0,6.64,810,0.97,0.83,0.10
8,-12.0,-16.0,7.0,6.64,351,0.92,0.62,0.00
9,-6.0,62.0,34.0,6.62,9180,0.99,0.98,0.92
9a,-9.0,62.0,16.0,6.34,,,,
9b,-12.0,56.0,40.0,6.14,,,,
9c,-6.0,56.0,-5.0,5.76,,,,
10,-24.0,2.0,-11.0,6.54,3753,0.99,0.94,0.81
10a,-21.0,8.0,7.0,5.76,,,,
10b,-18.0,20.0,4.0,5.71,,,,
10c,-12.0,11.0,-2.0,5.60,,,,
11,30.0,35.0,-14.0,6.42,891,0.97,0.88,0.18
12,-54.0,35.0,7.0,6.05,945,0.97,0.80,0.23
13,0.0,-25.0,7.0,6.01,2187,0.99,0.91,0.67
13a,-9.0,-1.0,10.0,5.94,,,,
13b,9.0,-1.0,7.0,5.63,,,,
13c,3.0,-7.0,10.0,5.51,,,,
14,45.0,14.0,46.0,5.56,1566,0.97,0.86,0.53
15,33.0,-7.0,-32.0,5.49,351,0.92,0.54,0.00
16,18.0,-28.0,67.0,5.44,351,0.92,0.69,0.00
17,48.0,-22.0,64.0,5.30,1080,0.97,0.80,0.33
17a,33.0,-25.0,61.0,5.25,,,,
17b,39.0,-22.0,55.0,4.93,,,,
18,6.0,-58.0,43.0,5.19,243,0.89,0.44,0.00
19,6.0,-22.0,55.0,5.07,216,0.88,0.25,0.00
20,-33.0,14.0,10.0,5.01,189,0.86,0.43,0.00
21,33.0,56.0,-5.0,4.89,108,0.75,0.00,0.00
22,-30.0,-7.0,-29.0,4.87,162,0.83,0.17,0.00
23,-9.0,47.0,49.0,4.85,27,1.00,0.00,0.00
24,3.0,-31.0,61.0,4.85,189,0.86,0.43,0.00
25,-3.0,-37.0,34.0,4.79,162,0.83,0.17,0.00
26,30.0,-52.0,-50.0,4.74,81,0.67,0.00,0.00
27,-18.0,-85.0,4.0,4.67,27,1.00,0.00,0.00
28,42.0,-82.0,-26.0,4.61,27,0.00,0.00,0.00
29,0.0,35.0,-17.0,4.57,54,0.50,0.00,0.00
30,33.0,11.0,58.0,4.56,54,0.50,0.00,0.00
31,-30.0,-19.0,1.0,4.55,27,0.00,0.00,0.00
32,0.0,23.0,-14.0,4.54,81,0.67,0.00,0.00
33,21.0,-91.0,-5.0,4.50,27,0.00,0.00,0.00
