Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-6.0,-103.0,7.0,15.56,337797,0.94,0.97,0.98
1a,12.0,-97.0,16.0,15.52,,,,
1b,27.0,-85.0,22.0,13.98,,,,
1c,3.0,-79.0,-2.0,13.95,,,,
2,-48.0,-22.0,16.0,12.79,113643,0.86,0.90,0.93
2a,-42.0,-16.0,61.0,12.31,,,,
2b,-36.0,-25.0,52.0,11.64,,,,
2c,-54.0,-19.0,49.0,11.04,,,,
3,60.0,-28.0,-5.0,9.66,45603,0.76,0.81,0.85
3a,69.0,-43.0,4.0,7.54,,,,
3b,60.0,-16.0,16.0,6.66,,,,
3c,42.0,-52.0,43.0,6.34,,,,
4,-6.0,62.0,34.0,6.62,27081,0.63,0.68,0.76
4a,-9.0,62.0,16.0,6.34,,,,
4b,-12.0,56.0,40.0,6.14,,,,
4c,-6.0,56.0,-5.0,5.76,,,,
5,30.0,35.0,-14.0,6.42,2106,0.47,0.47,0.18
6,45.0,14.0,46.0,5.56,19872,0.34,0.47,0.61
6a,33.0,56.0,-5.0,4.89,,,,
6b,33.0,11.0,58.0,4.56,,,,
6c,60.0,8.0,19.0,4.33,,,,
7,18.0,-28.0,67.0,5.44,13419,0.40,0.45,0.53
7a,48.0,-22.0,64.0,5.30,,,,
7b,33.0,-25.0,61.0,5.25,,,,
7c,6.0,-22.0,55.0,5.07,,,,
8,6.0,-58.0,43.0,5.19,1647,0.16,0.16,0.00
9,21.0,-91.0,-5.0,4.50,864,0.00,0.00,0.00
9a,27.0,-100.0,-11.0,4.11,,,,
10,30.0,23.0,-8.0,4.47,729,0.00,0.00,0.00
11,6.0,38.0,43.0,4.43,1296,0.00,0.00,0.00
12,0.0,-34.0,1.0,4.25,324,0.00,0.00,0.00
13,57.0,35.0,10.0,4.23,108,0.00,0.00,0.00
14,66.0,-4.0,22.0,4.23,351,0.00,0.00,0.00
15,9.0,-16.0,-14.0,4.19,324,0.00,0.00,0.00
16,-12.0,-22.0,-14.0,3.99,81,0.00,0.00,0.00
17,12.0,8.0,37.0,3.97,189,0.00,0.00,0.00
18,-63.0,-4.0,-17.0,3.93,648,0.00,0.00,0.00
19,-3.0,-34.0,-47.0,3.72,432,0.00,0.00,0.00
20,12.0,-13.0,37.0,3.60,135,0.00,0.00,0.00
21,63.0,2.0,-20.0,3.58,135,0.00,0.00,0.00
22,48.0,-13.0,-38.0,3.50,216,0.00,0.00,0.00
23,-15.0,-25.0,19.0,3.43,108,0.00,0.00,0.00
24,-15.0,-19.0,-14.0,3.38,27,0.00,0.00,0.00
25,-3.0,-16.0,28.0,3.38,135,0.00,0.00,0.00
26,-3.0,-19.0,-17.0,3.34,81,0.00,0.00,0.00
27,39.0,-13.0,43.0,3.33,108,0.00,0.00,0.00
28,24.0,26.0,55.0,3.32,108,0.00,0.00,0.00
29,-3.0,-1.0,-20.0,3.31,135,0.00,0.00,0.00
30,36.0,17.0,-20.0,3.30,108,0.00,0.00,0.00
31,54.0,38.0,10.0,3.29,54,0.00,0.00,0.00
32,-42.0,20.0,52.0,3.27,27,0.00,0.00,0.00
33,42.0,-1.0,13.0,3.27,81,0.00,0.00,0.00
34,-48.0,-16.0,-38.0,3.23,189,0.00,0.00,0.00
35,48.0,20.0,-20.0,3.19,54,0.00,0.00,0.00
36,9.0,29.0,55.0,3.18,81,0.00,0.00,0.00
37,-15.0,-37.0,13.0,3.18,27,0.00,0.00,0.00
38,30.0,20.0,7.0,3.17,27,0.00,0.00,0.00
39,27.0,-34.0,4.0,3.16,27,0.00,0.00,0.00
40,-57.0,23.0,7.0,3.15,54,0.00,0.00,0.00
41,-9.0,-40.0,64.0,3.13,54,0.00,0.00,0.00
42,-42.0,-73.0,-47.0,3.12,27,0.00,0.00,0.00
43,-45.0,-10.0,31.0,3.11,27,0.00,0.00,0.00
44,-63.0,-7.0,31.0,3.09,27,0.00,0.00,0.00
45,-9.0,-16.0,-23.0,3.09,27,0.00,0.00,0.00
46,-33.0,-52.0,-50.0,3.07,27,0.00,0.00,0.00
47,-15.0,-34.0,16.0,3.07,27,0.00,0.00,0.00
48,-57.0,-19.0,-38.0,3.05,27,0.00,0.00,0.00
49,63.0,-55.0,-20.0,3.05,27,0.00,0.00,0.00
50,18.0,8.0,16.0,3.02,27,0.00,0.00,0.00
