Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,-27.0,-94.0,16.0,7.0,58725.0,2175.0,1.0,1.0,0.99,1.0
1a,-18.0,-94.0,4.0,7.0,,,,,,
1b,39.0,-76.0,-11.0,6.92,,,,,,
1c,-21.0,-91.0,-2.0,6.9,,,,,,
2,57.0,-22.0,19.0,6.66,3834.0,142.0,1.0,1.0,0.81,0.99
2a,54.0,2.0,4.0,6.39,,,,,,
2b,57.0,-31.0,28.0,6.08,,,,,,
2c,51.0,-10.0,13.0,5.95,,,,,,
3,-42.0,-10.0,10.0,6.17,675.0,25.0,1.0,1.0,0.0,0.96
4,-63.0,-34.0,16.0,5.98,1458.0,54.0,1.0,1.0,0.5,0.98
5,3.0,-28.0,7.0,5.98,999.0,37.0,1.0,1.0,0.27,0.97
6,-18.0,-25.0,28.0,5.91,324.0,12.0,1.0,1.0,0.0,0.92
7,0.0,-25.0,25.0,5.91,1404.0,52.0,1.0,1.0,0.48,0.98
8,60.0,-22.0,-14.0,5.86,2754.0,102.0,1.0,1.0,0.74,0.99
8a,60.0,-34.0,-20.0,5.77,,,,,,
8b,69.0,-31.0,-17.0,5.6,,,,,,
8c,63.0,-43.0,-20.0,5.39,,,,,,
9,48.0,-55.0,43.0,5.75,837.0,31.0,1.0,1.0,0.13,0.97
9a,57.0,-37.0,40.0,5.29,,,,,,
9b,48.0,-46.0,40.0,5.23,,,,,,
10,45.0,-10.0,-5.0,5.58,540.0,20.0,1.0,1.0,0.0,0.95
11,9.0,26.0,-14.0,5.4,108.0,4.0,1.0,1.0,0.0,0.75
12,12.0,-25.0,40.0,5.36,351.0,13.0,1.0,1.0,0.0,0.92
13,-3.0,26.0,-8.0,5.35,54.0,2.0,1.0,1.0,0.0,0.5
14,3.0,-34.0,4.0,5.32,54.0,2.0,1.0,1.0,0.0,0.5
15,15.0,-61.0,34.0,5.24,54.0,2.0,1.0,1.0,0.0,0.5
16,-18.0,-34.0,61.0,5.2,270.0,10.0,1.0,1.0,0.0,0.9
17,-45.0,-19.0,1.0,5.19,27.0,1.0,1.0,1.0,0.0,0.0
18,-3.0,20.0,49.0,5.19,270.0,10.0,1.0,1.0,0.0,0.9
19,-39.0,-22.0,4.0,5.16,162.0,6.0,1.0,1.0,0.0,0.83
20,0.0,-22.0,16.0,5.15,27.0,1.0,1.0,1.0,0.0,0.0
21,-42.0,23.0,1.0,5.14,135.0,5.0,1.0,1.0,0.0,0.8
22,21.0,-40.0,64.0,5.12,81.0,3.0,1.0,1.0,0.0,0.67
23,57.0,35.0,10.0,5.1,54.0,2.0,1.0,1.0,0.0,0.5
24,-42.0,-25.0,7.0,5.1,54.0,2.0,1.0,1.0,0.0,0.5
25,15.0,-58.0,31.0,5.08,27.0,1.0,1.0,1.0,0.0,0.0
26,-3.0,-31.0,7.0,5.08,54.0,2.0,1.0,1.0,0.0,0.5
27,21.0,-28.0,64.0,5.06,27.0,1.0,1.0,1.0,0.0,0.0
28,6.0,-73.0,37.0,5.04,81.0,3.0,1.0,1.0,0.0,0.67
29,0.0,14.0,1.0,5.03,27.0,1.0,1.0,1.0,0.0,0.0
30,18.0,-34.0,10.0,5.03,27.0,1.0,1.0,1.0,0.0,0.0
31,60.0,-31.0,34.0,5.03,27.0,1.0,1.0,1.0,0.0,0.0
32,-48.0,-16.0,-2.0,5.02,27.0,1.0,1.0,1.0,0.0,0.0
33,-48.0,-34.0,22.0,5.02,27.0,1.0,1.0,1.0,0.0,0.0
34,-48.0,-16.0,7.0,5.02,27.0,1.0,1.0,1.0,0.0,0.0
