Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
44a,-36.0,8.0,31.0,3.42,,,,,,
45,12.0,23.0,28.0,3.53,162.0,6.0,0.0,0.0,0.0,0.0
46,-6.0,-16.0,19.0,3.51,54.0,2.0,0.0,0.0,0.0,0.0
47,-12.0,-37.0,10.0,3.51,27.0,1.0,0.0,0.0,0.0,0.0
48,15.0,-52.0,-50.0,3.5,108.0,4.0,0.0,0.0,0.0,0.0
49,12.0,14.0,70.0,3.5,108.0,4.0,0.0,0.0,0.0,0.0
50,18.0,5.0,22.0,3.47,27.0,1.0,0.0,0.0,0.0,0.0
51,33.0,-46.0,7.0,3.44,27.0,1.0,0.0,0.0,0.0,0.0
52,0.0,5.0,-23.0,3.43,189.0,7.0,0.0,0.0,0.0,0.0
53,-12.0,14.0,-14.0,3.34,243.0,9.0,0.0,0.0,0.0,0.0
54,-27.0,2.0,49.0,3.32,270.0,10.0,0.0,0.0,0.0,0.0
55,15.0,26.0,7.0,3.32,27.0,1.0,0.0,0.0,0.0,0.0
56,0.0,-22.0,70.0,3.27,81.0,3.0,0.0,0.0,0.0,0.0
57,15.0,-22.0,25.0,3.27,27.0,1.0,0.0,0.0,0.0,0.0
58,-30.0,50.0,16.0,3.27,324.0,12.0,0.0,0.0,0.0,0.0
58a,-36.0,56.0,19.0,3.17,,,,,,
59,39.0,-85.0,-29.0,3.27,54.0,2.0,0.0,0.0,0.0,0.0
60,-3.0,-19.0,-5.0,3.26,54.0,2.0,0.0,0.0,0.0,0.0
61,-48.0,-70.0,-44.0,3.26,162.0,6.0,0.0,0.0,0.0,0.0
62,15.0,-31.0,-44.0,3.24,27.0,1.0,0.0,0.0,0.0,0.0
63,-48.0,-19.0,-26.0,3.24,54.0,2.0,0.0,0.0,0.0,0.0
64,3.0,-64.0,-50.0,3.22,54.0,2.0,0.0,0.0,0.0,0.0
65,9.0,-13.0,-23.0,3.21,54.0,2.0,0.0,0.0,0.0,0.0
66,-12.0,-40.0,34.0,3.21,27.0,1.0,0.0,0.0,0.0,0.0
67,-51.0,-70.0,-32.0,3.18,81.0,3.0,0.0,0.0,0.0,0.0
68,-60.0,-61.0,-17.0,3.16,27.0,1.0,0.0,0.0,0.0,0.0
69,-15.0,-37.0,13.0,3.15,27.0,1.0,0.0,0.0,0.0,0.0
70,-54.0,-34.0,43.0,3.14,54.0,2.0,0.0,0.0,0.0,0.0
71,51.0,-1.0,-26.0,3.12,54.0,2.0,0.0,0.0,0.0,0.0
72,-18.0,-58.0,22.0,3.12,54.0,2.0,0.0,0.0,0.0,0.0
73,-15.0,20.0,-8.0,3.12,27.0,1.0,0.0,0.0,0.0,0.0
74,21.0,44.0,-14.0,3.12,27.0,1.0,0.0,0.0,0.0,0.0
75,-24.0,-37.0,16.0,3.1,27.0,1.0,0.0,0.0,0.0,0.0
76,42.0,-25.0,55.0,3.05,27.0,1.0,0.0,0.0,0.0,0.0
77,-39.0,29.0,46.0,3.04,27.0,1.0,0.0,0.0,0.0,0.0
78,-54.0,-64.0,-32.0,3.04,27.0,1.0,0.0,0.0,0.0,0.0
79,-27.0,-1.0,-29.0,3.03,27.0,1.0,0.0,0.0,0.0,0.0
80,18.0,29.0,1.0,3.03,27.0,1.0,0.0,0.0,0.0,0.0
81,-3.0,11.0,-26.0,3.03,27.0,1.0,0.0,0.0,0.0,0.0
82,45.0,5.0,55.0,3.02,27.0,1.0,0.0,0.0,0.0,0.0
83,-48.0,29.0,34.0,3.02,27.0,1.0,0.0,0.0,0.0,0.0
84,-60.0,-64.0,19.0,3.01,27.0,1.0,0.0,0.0,0.0,0.0
85,54.0,-70.0,-23.0,3.0,27.0,1.0,0.0,0.0,0.0,0.0
