Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-9.0,-94.0,-2.0,7.15,9180,1.00,1.00,0.92
1a,-18.0,-94.0,-11.0,6.46,,,,
1b,-27.0,-88.0,-14.0,6.37,,,,
1c,-36.0,-76.0,-17.0,6.27,,,,
2,12.0,-94.0,-2.0,6.93,2133,1.00,1.00,0.66
3,30.0,-85.0,-14.0,6.24,702,1.00,1.00,0.00
4,-42.0,-82.0,1.0,6.12,567,1.00,1.00,0.00
5,45.0,-67.0,-14.0,5.94,432,1.00,1.00,0.00
5a,36.0,-61.0,-14.0,5.83,,,,
6,42.0,-43.0,-20.0,5.76,27,1.00,1.00,0.00
7,42.0,-70.0,-5.0,5.73,81,1.00,1.00,0.00
8,39.0,-10.0,64.0,5.70,54,1.00,1.00,0.00
9,42.0,-58.0,-11.0,5.51,27,1.00,1.00,0.00
