Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-39.0,-70.0,-11.0,8.54,53460,0.99,0.99,0.98
1a,-39.0,-88.0,-8.0,8.15,,,,
1b,-30.0,-91.0,-11.0,8.13,,,,
1c,-27.0,-94.0,4.0,7.18,,,,
2,63.0,-10.0,4.0,8.46,25974,0.97,0.98,0.97
2a,54.0,-22.0,7.0,7.59,,,,
2b,63.0,-22.0,10.0,7.49,,,,
2c,66.0,-22.0,1.0,7.03,,,,
3,-51.0,-22.0,10.0,8.10,26514,0.97,0.98,0.97
3a,-60.0,-4.0,-5.0,7.88,,,,
3b,-63.0,-10.0,1.0,7.87,,,,
3c,-54.0,-7.0,-17.0,6.39,,,,
4,27.0,-88.0,-5.0,7.67,49059,0.99,0.99,0.98
4a,42.0,-79.0,-5.0,7.65,,,,
4b,39.0,-76.0,-14.0,7.36,,,,
4c,42.0,-88.0,-2.0,7.35,,,,
5,-48.0,5.0,34.0,6.56,5562,0.88,0.92,0.85
5a,-36.0,5.0,28.0,6.05,,,,
5b,-51.0,-1.0,49.0,5.51,,,,
5c,-42.0,-4.0,55.0,4.45,,,,
6,-12.0,56.0,31.0,5.97,1944,0.65,0.75,0.57
6a,-6.0,44.0,49.0,4.94,,,,
6b,-15.0,44.0,43.0,4.31,,,,
7,30.0,5.0,64.0,5.69,1215,0.51,0.62,0.31
8,45.0,2.0,58.0,5.61,1188,0.50,0.61,0.30
8a,42.0,-4.0,46.0,4.90,,,,
9,51.0,8.0,37.0,5.51,2025,0.73,0.80,0.59
9a,51.0,5.0,28.0,5.41,,,,
10,-3.0,56.0,-14.0,5.51,1026,0.55,0.66,0.18
10a,6.0,65.0,-14.0,5.03,,,,
11,-45.0,29.0,-8.0,4.95,891,0.39,0.58,0.09
11a,-54.0,32.0,-8.0,4.17,,,,
12,-27.0,2.0,67.0,4.80,918,0.32,0.47,0.09
12a,-24.0,11.0,58.0,4.68,,,,
12b,-21.0,2.0,58.0,4.40,,,,
13,24.0,-82.0,-32.0,4.80,405,0.20,0.33,0.00
14,0.0,11.0,52.0,4.73,1971,0.66,0.75,0.58
14a,6.0,8.0,58.0,4.67,,,,
14b,-3.0,-1.0,64.0,4.60,,,,
15,39.0,32.0,-17.0,4.66,351,0.00,0.00,0.00
16,51.0,26.0,-2.0,4.62,270,0.10,0.20,0.00
16a,45.0,32.0,1.0,4.51,,,,
17,-24.0,23.0,46.0,4.48,54,0.00,0.00,0.00
18,-27.0,-10.0,-20.0,4.39,135,0.00,0.00,0.00
19,-21.0,-13.0,-14.0,4.25,54,0.00,0.00,0.00
20,21.0,-1.0,-17.0,4.23,27,0.00,0.00,0.00
21,-27.0,-7.0,49.0,4.22,54,0.00,0.00,0.00
22,-45.0,29.0,25.0,4.19,135,0.00,0.00,0.00
23,12.0,53.0,37.0,4.17,54,0.00,0.00,0.00
24,-18.0,17.0,4.0,4.16,27,0.00,0.00,0.00
25,30.0,8.0,-20.0,4.13,27,0.00,0.00,0.00
26,-51.0,-67.0,25.0,4.12,54,0.00,0.00,0.00
27,12.0,50.0,43.0,4.12,27,0.00,0.00,0.00
28,42.0,-4.0,-14.0,4.11,54,0.00,0.00,0.00
29,24.0,-1.0,49.0,4.10,27,0.00,0.00,0.00
30,-21.0,-16.0,-20.0,4.10,27,0.00,0.00,0.00
31,-69.0,-31.0,-5.0,4.07,27,0.00,0.00,0.00
32,-42.0,14.0,-29.0,4.05,27,0.00,0.00,0.00
33,-45.0,11.0,-29.0,4.03,27,0.00,0.00,0.00
34,-54.0,-64.0,22.0,4.02,27,0.00,0.00,0.00
35,-66.0,-52.0,16.0,4.01,27,0.00,0.00,0.00
36,-42.0,35.0,37.0,4.00,27,0.00,0.00,0.00
