Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,9.0,-67.0,31.0,4.82,1323,0.43,0.80,0.35
1a,6.0,-64.0,22.0,4.48,,,,
1b,6.0,-55.0,22.0,4.29,,,,
2,-45.0,14.0,25.0,4.48,297,0.00,0.09,0.00
3,-6.0,62.0,7.0,4.42,81,0.00,0.00,0.00
4,57.0,2.0,-32.0,4.38,81,0.00,0.00,0.00
5,-6.0,-55.0,22.0,4.20,135,0.00,0.00,0.00
6,-9.0,53.0,7.0,4.18,81,0.00,0.00,0.00
7,33.0,-85.0,-32.0,4.15,27,0.00,0.00,0.00
8,-9.0,-49.0,28.0,4.14,27,0.00,0.00,0.00
9,-48.0,44.0,4.0,4.08,135,0.00,0.00,0.00
10,-42.0,-13.0,1.0,4.05,27,0.00,0.00,0.00
11,-9.0,-52.0,25.0,4.02,27,0.00,0.00,0.00
