Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,60.0,-10.0,-2.0,16.86,38232,1.00,1.00,0.98
2,-63.0,-13.0,1.0,15.47,36855,1.00,1.00,0.98
2a,-45.0,-25.0,4.0,15.29,,,,
3,-33.0,-85.0,-14.0,15.27,43470,1.00,1.00,0.98
3a,-36.0,-91.0,-5.0,15.05,,,,
3b,-21.0,-94.0,-8.0,14.89,,,,
4,27.0,-91.0,-8.0,14.97,63666,1.00,1.00,0.99
4a,36.0,-85.0,-5.0,14.40,,,,
4b,33.0,-91.0,1.0,14.21,,,,
4c,42.0,-64.0,-17.0,12.16,,,,
5,45.0,20.0,52.0,8.21,10584,0.99,1.00,0.93
5a,48.0,26.0,43.0,8.16,,,,
5b,27.0,29.0,58.0,8.12,,,,
5c,36.0,20.0,58.0,7.99,,,,
6,45.0,50.0,-14.0,8.14,12906,1.00,1.00,0.94
6a,24.0,68.0,10.0,6.29,,,,
6b,36.0,62.0,10.0,6.11,,,,
6c,15.0,53.0,-20.0,5.56,,,,
7,-42.0,56.0,-8.0,7.54,5616,0.99,1.00,0.87
7a,-42.0,50.0,-17.0,6.47,,,,
7b,-48.0,44.0,-17.0,6.43,,,,
7c,-18.0,65.0,-8.0,5.77,,,,
8,-42.0,26.0,46.0,6.17,729,0.96,0.96,0.00
9,-39.0,17.0,55.0,5.54,324,0.92,0.92,0.00
10,-51.0,-55.0,49.0,5.53,1944,0.97,0.99,0.62
10a,-42.0,-61.0,55.0,5.24,,,,
11,6.0,38.0,34.0,5.42,810,0.93,0.97,0.10
12,6.0,38.0,58.0,5.00,81,0.67,0.67,0.00
13,-36.0,26.0,52.0,4.90,54,0.50,0.50,0.00
14,6.0,41.0,55.0,4.82,54,1.00,0.50,0.00
15,9.0,17.0,34.0,4.79,378,0.86,0.93,0.00
15a,-3.0,17.0,37.0,4.75,,,,
16,-36.0,29.0,49.0,4.77,27,1.00,0.00,0.00
17,-48.0,20.0,43.0,4.77,27,1.00,0.00,0.00
18,-12.0,53.0,-23.0,4.75,108,0.50,0.75,0.00
19,-27.0,26.0,58.0,4.72,108,0.50,0.75,0.00
20,-36.0,11.0,61.0,4.66,27,0.00,0.00,0.00
21,-6.0,56.0,-26.0,4.65,27,0.00,0.00,0.00
22,-33.0,23.0,55.0,4.62,27,0.00,0.00,0.00
23,-30.0,32.0,52.0,4.59,27,0.00,0.00,0.00
24,-33.0,20.0,58.0,4.58,27,0.00,0.00,0.00
25,-24.0,68.0,4.0,4.58,27,0.00,0.00,0.00
26,-33.0,14.0,61.0,4.55,27,0.00,0.00,0.00
27,-9.0,-76.0,-23.0,4.52,27,0.00,0.00,0.00
28,-3.0,26.0,25.0,4.51,27,0.00,0.00,0.00
29,-30.0,62.0,13.0,4.50,27,0.00,0.00,0.00
