Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,-45.0,11.0,-29.0,5.23,729,27.0,0.89,0.93,0.0,0.93
2,-51.0,-10.0,-14.0,4.99,189,7.0,0.71,0.86,0.0,0.86
3,-9.0,38.0,13.0,4.94,216,8.0,0.75,0.88,0.0,0.88
4,57.0,-37.0,19.0,4.87,162,6.0,0.67,0.83,0.0,0.83
5,-66.0,-19.0,10.0,4.73,108,4.0,0.5,0.5,0.0,0.5
6,6.0,35.0,25.0,4.72,243,9.0,0.67,0.78,0.0,0.78
7,-45.0,32.0,-5.0,4.69,27,1.0,0.0,1.0,0.0,0.0
8,-30.0,32.0,46.0,4.64,54,2.0,0.0,0.5,0.0,0.5
9,57.0,-31.0,10.0,4.64,27,1.0,0.0,0.0,0.0,0.0
10,-3.0,-76.0,43.0,4.52,27,1.0,0.0,0.0,0.0,0.0
