Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,15.0,-52.0,13.0,9.07,4644.0,172.0,0.74,0.78,0.69,0.8
2,-15.0,-58.0,13.0,8.15,3861.0,143.0,0.65,0.71,0.59,0.73
3,30.0,-40.0,-11.0,7.46,10584.0,392.0,0.68,0.8,0.82,0.81
3a,33.0,-22.0,-26.0,5.16,,,,,,
3b,15.0,-28.0,1.0,3.6,,,,,,
4,-27.0,-43.0,-11.0,6.91,15228.0,564.0,0.66,0.85,0.87,0.86
4a,-27.0,-22.0,-23.0,5.36,,,,,,
4b,-21.0,-73.0,-14.0,4.7,,,,,,
4c,-27.0,-70.0,-20.0,4.7,,,,,,
5,-33.0,-82.0,34.0,5.66,7290.0,270.0,0.56,0.71,0.74,0.73
6,36.0,-82.0,25.0,5.36,6939.0,257.0,0.46,0.67,0.72,0.7
6a,36.0,-76.0,37.0,4.9,,,,,,
7,-9.0,-37.0,43.0,4.99,6993.0,259.0,0.45,0.68,0.72,0.71
7a,12.0,-46.0,46.0,4.53,,,,,,
7b,-9.0,-49.0,46.0,4.47,,,,,,
8,21.0,-73.0,-17.0,4.5,3375.0,125.0,0.0,0.37,0.42,0.42
8a,18.0,-88.0,-14.0,3.95,,,,,,
9,36.0,-46.0,-29.0,4.09,297.0,11.0,0.0,0.0,0.0,0.0
10,-42.0,-37.0,10.0,4.09,108.0,4.0,0.0,0.0,0.0,0.0
11,30.0,-37.0,70.0,3.97,540.0,20.0,0.0,0.0,0.0,0.0
12,-24.0,-40.0,61.0,3.94,243.0,9.0,0.0,0.0,0.0,0.0
13,-30.0,-43.0,-44.0,3.88,81.0,3.0,0.0,0.0,0.0,0.0
14,-9.0,-46.0,7.0,3.8,27.0,1.0,0.0,0.0,0.0,0.0
15,33.0,-22.0,10.0,3.78,54.0,2.0,0.0,0.0,0.0,0.0
16,-18.0,-10.0,-26.0,3.73,27.0,1.0,0.0,0.0,0.0,0.0
17,-36.0,-4.0,64.0,3.66,81.0,3.0,0.0,0.0,0.0,0.0
18,-15.0,-43.0,1.0,3.64,81.0,3.0,0.0,0.0,0.0,0.0
19,21.0,-94.0,7.0,3.62,81.0,3.0,0.0,0.0,0.0,0.0
20,-24.0,-79.0,46.0,3.62,27.0,1.0,0.0,0.0,0.0,0.0
21,-21.0,-82.0,46.0,3.55,27.0,1.0,0.0,0.0,0.0,0.0
22,48.0,-25.0,10.0,3.54,27.0,1.0,0.0,0.0,0.0,0.0
23,-12.0,-43.0,4.0,3.51,27.0,1.0,0.0,0.0,0.0,0.0
