Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,33.0,-85.0,7.0,6.9,38637.0,1431.0,0.6,0.82,0.87,0.8
1a,39.0,-79.0,19.0,6.63,,,,,,
1b,30.0,-61.0,-14.0,6.55,,,,,,
1c,45.0,-79.0,1.0,5.98,,,,,,
2,-27.0,-67.0,-8.0,6.7,41202.0,1526.0,0.56,0.82,0.88,0.8
2a,-27.0,-88.0,19.0,6.18,,,,,,
2b,-42.0,-85.0,10.0,5.95,,,,,,
2c,-21.0,-82.0,-14.0,5.95,,,,,,
3,-3.0,-91.0,-11.0,4.2,351.0,13.0,0.0,0.0,0.0,0.0
4,30.0,-43.0,55.0,4.03,108.0,4.0,0.0,0.0,0.0,0.0
5,12.0,-55.0,-41.0,3.99,216.0,8.0,0.0,0.0,0.0,0.0
6,24.0,-100.0,-14.0,3.98,432.0,16.0,0.0,0.0,0.0,0.0
7,-24.0,-97.0,-14.0,3.89,513.0,19.0,0.0,0.0,0.0,0.0
8,9.0,-82.0,46.0,3.82,54.0,2.0,0.0,0.0,0.0,0.0
9,57.0,-43.0,52.0,3.8,513.0,19.0,0.0,0.0,0.0,0.0
10,-36.0,-22.0,-26.0,3.78,270.0,10.0,0.0,0.0,0.0,0.0
11,-9.0,8.0,64.0,3.77,189.0,7.0,0.0,0.0,0.0,0.0
12,-27.0,5.0,-23.0,3.7,135.0,5.0,0.0,0.0,0.0,0.0
13,-51.0,-43.0,49.0,3.67,324.0,12.0,0.0,0.0,0.0,0.0
14,-42.0,17.0,-29.0,3.66,243.0,9.0,0.0,0.0,0.0,0.0
15,39.0,-37.0,-32.0,3.54,216.0,8.0,0.0,0.0,0.0,0.0
16,57.0,-55.0,1.0,3.5,216.0,8.0,0.0,0.0,0.0,0.0
16a,48.0,-58.0,4.0,3.32,,,,,,
17,0.0,50.0,-23.0,3.38,81.0,3.0,0.0,0.0,0.0,0.0
18,-21.0,-58.0,58.0,3.32,135.0,5.0,0.0,0.0,0.0,0.0
19,-3.0,59.0,-14.0,3.28,189.0,7.0,0.0,0.0,0.0,0.0
20,-45.0,-61.0,7.0,3.25,27.0,1.0,0.0,0.0,0.0,0.0
21,36.0,35.0,-11.0,3.23,108.0,4.0,0.0,0.0,0.0,0.0
22,9.0,-79.0,49.0,3.19,27.0,1.0,0.0,0.0,0.0,0.0
23,-36.0,-37.0,-38.0,3.16,54.0,2.0,0.0,0.0,0.0,0.0
24,18.0,-70.0,28.0,3.13,54.0,2.0,0.0,0.0,0.0,0.0
25,54.0,-31.0,49.0,3.12,54.0,2.0,0.0,0.0,0.0,0.0
26,-18.0,-58.0,55.0,3.12,54.0,2.0,0.0,0.0,0.0,0.0
27,-9.0,-64.0,25.0,3.11,54.0,2.0,0.0,0.0,0.0,0.0
28,51.0,-61.0,22.0,3.11,27.0,1.0,0.0,0.0,0.0,0.0
29,24.0,-58.0,46.0,3.08,27.0,1.0,0.0,0.0,0.0,0.0
30,6.0,-61.0,-23.0,3.08,27.0,1.0,0.0,0.0,0.0,0.0
31,-9.0,68.0,19.0,3.07,54.0,2.0,0.0,0.0,0.0,0.0
32,-27.0,-55.0,67.0,3.06,54.0,2.0,0.0,0.0,0.0,0.0
33,36.0,-4.0,7.0,3.04,27.0,1.0,0.0,0.0,0.0,0.0
34,21.0,-88.0,37.0,3.02,27.0,1.0,0.0,0.0,0.0,0.0
35,15.0,-79.0,43.0,3.01,27.0,1.0,0.0,0.0,0.0,0.0
36,42.0,26.0,-29.0,3.0,27.0,1.0,0.0,0.0,0.0,0.0
