Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,39.0,-22.0,61.0,12.37,19791,1.00,1.00,0.96
1a,39.0,-19.0,49.0,12.08,,,,
2,-6.0,-22.0,73.0,11.24,26136,1.00,1.00,0.97
2a,-6.0,-34.0,73.0,11.08,,,,
2b,12.0,-43.0,70.0,5.62,,,,
3,-18.0,-52.0,-23.0,10.44,6426,0.99,1.00,0.89
3a,-3.0,-64.0,-20.0,6.05,,,,
4,21.0,-34.0,-26.0,9.10,6480,0.99,1.00,0.89
4a,3.0,-46.0,-8.0,5.88,,,,
5,-33.0,-25.0,16.0,8.64,9045,0.99,1.00,0.92
5a,-33.0,-10.0,7.0,7.29,,,,
5b,-51.0,-31.0,19.0,6.87,,,,
5c,-54.0,2.0,7.0,5.92,,,,
6,-18.0,-61.0,-50.0,7.83,1188,0.98,1.00,0.39
7,-9.0,-1.0,43.0,6.75,1863,0.97,1.00,0.61
8,45.0,-16.0,19.0,6.19,513,0.89,1.00,0.00
9,-6.0,-67.0,-35.0,5.84,216,0.88,1.00,0.00
10,30.0,-1.0,-5.0,5.79,243,0.78,1.00,0.00
11,3.0,-67.0,-44.0,5.62,270,0.80,1.00,0.00
12,3.0,-40.0,-11.0,4.97,27,1.00,1.00,0.00
13,21.0,-43.0,-50.0,4.62,27,0.00,1.00,0.00
14,-6.0,-25.0,7.0,4.59,108,0.50,0.75,0.00
15,-3.0,-34.0,-2.0,4.54,27,0.00,1.00,0.00
16,-12.0,-37.0,52.0,4.51,27,0.00,0.00,0.00
