Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,27.0,-94.0,-5.0,9.87,29106.0,1078.0,0.97,0.99,0.97,0.99
1a,39.0,-43.0,-20.0,9.56,,,,,,
1b,42.0,-85.0,-11.0,8.68,,,,,,
1c,42.0,-58.0,-17.0,8.62,,,,,,
2,-24.0,-97.0,-8.0,9.2,26838.0,994.0,0.97,0.99,0.97,0.99
2a,-39.0,-46.0,-20.0,9.05,,,,,,
2b,-33.0,-88.0,-11.0,8.81,,,,,,
2c,-42.0,-61.0,-17.0,8.26,,,,,,
3,-18.0,-4.0,-17.0,8.23,4131.0,153.0,0.81,0.93,0.79,0.93
3a,-27.0,11.0,-26.0,6.03,,,,,,
3b,-30.0,2.0,-23.0,5.98,,,,,,
4,18.0,-4.0,-14.0,7.95,4509.0,167.0,0.86,0.93,0.81,0.95
4a,33.0,5.0,-20.0,6.1,,,,,,
5,54.0,-67.0,16.0,6.81,2646.0,98.0,0.77,0.89,0.67,0.91
6,33.0,-7.0,-32.0,6.27,1647.0,61.0,0.67,0.84,0.49,0.85
7,45.0,29.0,19.0,5.76,5481.0,203.0,0.86,0.95,0.84,0.95
7a,36.0,11.0,31.0,4.79,,,,,,
8,-33.0,-7.0,-32.0,5.37,594.0,22.0,0.45,0.59,0.0,0.64
9,51.0,-7.0,-14.0,5.11,486.0,18.0,0.22,0.5,0.0,0.56
10,-39.0,-37.0,43.0,5.11,1242.0,46.0,0.48,0.76,0.3,0.8
11,33.0,38.0,-11.0,5.01,540.0,20.0,0.4,0.6,0.0,0.65
12,-42.0,26.0,16.0,4.98,540.0,20.0,0.1,0.5,0.0,0.6
12a,-54.0,32.0,19.0,4.36,,,,,,
13,-45.0,-67.0,1.0,4.79,486.0,18.0,0.28,0.5,0.0,0.61
14,-39.0,14.0,28.0,4.76,378.0,14.0,0.21,0.43,0.0,0.57
15,51.0,-40.0,10.0,4.6,459.0,17.0,0.18,0.41,0.0,0.47
16,57.0,-22.0,34.0,4.4,81.0,3.0,0.0,0.0,0.0,0.0
17,-12.0,-79.0,4.0,4.14,54.0,2.0,0.0,0.0,0.0,0.0
18,-33.0,32.0,-14.0,4.11,54.0,2.0,0.0,0.0,0.0,0.0
19,6.0,-1.0,-17.0,4.08,27.0,1.0,0.0,0.0,0.0,0.0
20,51.0,-25.0,37.0,4.07,54.0,2.0,0.0,0.0,0.0,0.0
21,60.0,-28.0,16.0,4.07,27.0,1.0,0.0,0.0,0.0,0.0
22,-36.0,35.0,-14.0,4.06,27.0,1.0,0.0,0.0,0.0,0.0
23,24.0,-64.0,-23.0,4.01,27.0,1.0,0.0,0.0,0.0,0.0
