Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,27.0,-94.0,-5.0,9.87,18927,1.00,1.00,0.96
1a,39.0,-43.0,-20.0,9.56,,,,
1b,42.0,-85.0,-11.0,8.68,,,,
1c,42.0,-58.0,-17.0,8.62,,,,
2,-24.0,-97.0,-8.0,9.20,16389,1.00,1.00,0.96
2a,-39.0,-46.0,-20.0,9.05,,,,
2b,-33.0,-88.0,-11.0,8.81,,,,
2c,-42.0,-61.0,-17.0,8.26,,,,
3,-18.0,-4.0,-17.0,8.23,756,1.00,1.00,0.04
4,18.0,-4.0,-14.0,7.95,1566,1.00,1.00,0.53
4a,33.0,5.0,-20.0,6.10,,,,
5,54.0,-67.0,16.0,6.81,756,1.00,1.00,0.04
6,33.0,-7.0,-32.0,6.27,270,1.00,1.00,0.00
7,-27.0,11.0,-26.0,6.03,54,1.00,1.00,0.00
8,-30.0,2.0,-23.0,5.98,81,1.00,1.00,0.00
9,45.0,29.0,19.0,5.76,135,1.00,1.00,0.00
