Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-33.0,-88.0,-8.0,7.96,15282,1.00,1.00,0.95
1a,-36.0,-76.0,-17.0,6.95,,,,
2,-51.0,-22.0,10.0,7.79,5886,1.00,1.00,0.88
3,66.0,-22.0,10.0,7.14,7722,1.00,1.00,0.91
3a,60.0,-10.0,7.0,6.83,,,,
3b,54.0,-19.0,10.0,6.73,,,,
3c,48.0,-16.0,1.0,6.38,,,,
4,-42.0,-22.0,55.0,7.07,5535,1.00,1.00,0.87
4a,-39.0,-16.0,64.0,6.13,,,,
4b,-36.0,-37.0,64.0,5.80,,,,
4c,-27.0,-40.0,67.0,5.32,,,,
5,39.0,-82.0,-11.0,7.00,13851,1.00,1.00,0.95
5a,21.0,-94.0,-5.0,6.80,,,,
5b,30.0,-91.0,-5.0,6.70,,,,
5c,30.0,-85.0,1.0,6.62,,,,
6,-36.0,-49.0,-17.0,5.94,108,1.00,1.00,0.00
7,30.0,-73.0,28.0,5.53,324,1.00,1.00,0.00
8,51.0,-52.0,-17.0,5.34,216,1.00,1.00,0.00
9,-45.0,-55.0,-11.0,5.22,27,1.00,1.00,0.00
10,-48.0,-61.0,-11.0,5.10,54,1.00,1.00,0.00
11,51.0,-46.0,-14.0,5.00,27,1.00,1.00,0.00
