Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,33.0,-85.0,7.0,6.90,38637,0.60,0.81,0.87
1a,39.0,-79.0,19.0,6.63,,,,
1b,30.0,-61.0,-14.0,6.55,,,,
1c,45.0,-79.0,1.0,5.98,,,,
2,-27.0,-67.0,-8.0,6.70,41202,0.56,0.81,0.88
2a,-27.0,-88.0,19.0,6.18,,,,
2b,-42.0,-85.0,10.0,5.95,,,,
2c,-21.0,-82.0,-14.0,5.95,,,,
3,-3.0,-91.0,-11.0,4.20,351,0.00,0.00,0.00
4,30.0,-43.0,55.0,4.03,108,0.00,0.00,0.00
5,12.0,-55.0,-41.0,3.99,216,0.00,0.00,0.00
6,24.0,-100.0,-14.0,3.98,432,0.00,0.00,0.00
7,-24.0,-97.0,-14.0,3.89,513,0.00,0.00,0.00
8,9.0,-82.0,46.0,3.82,54,0.00,0.00,0.00
9,57.0,-43.0,52.0,3.80,513,0.00,0.00,0.00
10,-36.0,-22.0,-26.0,3.78,270,0.00,0.00,0.00
11,-9.0,8.0,64.0,3.77,189,0.00,0.00,0.00
12,-27.0,5.0,-23.0,3.70,135,0.00,0.00,0.00
13,-51.0,-43.0,49.0,3.67,324,0.00,0.00,0.00
14,-42.0,17.0,-29.0,3.66,243,0.00,0.00,0.00
15,39.0,-37.0,-32.0,3.54,216,0.00,0.00,0.00
16,57.0,-55.0,1.0,3.50,216,0.00,0.00,0.00
16a,48.0,-58.0,4.0,3.32,,,,
17,0.0,50.0,-23.0,3.38,81,0.00,0.00,0.00
18,-21.0,-58.0,58.0,3.32,135,0.00,0.00,0.00
19,-3.0,59.0,-14.0,3.28,189,0.00,0.00,0.00
20,-45.0,-61.0,7.0,3.25,27,0.00,0.00,0.00
21,36.0,35.0,-11.0,3.23,108,0.00,0.00,0.00
22,9.0,-79.0,49.0,3.19,27,0.00,0.00,0.00
23,-36.0,-37.0,-38.0,3.16,54,0.00,0.00,0.00
24,18.0,-70.0,28.0,3.13,54,0.00,0.00,0.00
25,54.0,-31.0,49.0,3.12,54,0.00,0.00,0.00
26,-18.0,-58.0,55.0,3.12,54,0.00,0.00,0.00
27,-9.0,-64.0,25.0,3.11,54,0.00,0.00,0.00
28,51.0,-61.0,22.0,3.11,27,0.00,0.00,0.00
29,24.0,-58.0,46.0,3.08,27,0.00,0.00,0.00
30,6.0,-61.0,-23.0,3.08,27,0.00,0.00,0.00
31,-9.0,68.0,19.0,3.07,54,0.00,0.00,0.00
32,-27.0,-55.0,67.0,3.06,54,0.00,0.00,0.00
33,36.0,-4.0,7.0,3.04,27,0.00,0.00,0.00
34,21.0,-88.0,37.0,3.02,27,0.00,0.00,0.00
35,15.0,-79.0,43.0,3.01,27,0.00,0.00,0.00
36,42.0,26.0,-29.0,3.00,27,0.00,0.00,0.00
