Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-27.0,-94.0,16.0,7.00,120771,0.96,0.98,0.98
1a,-18.0,-94.0,4.0,7.00,,,,
1b,39.0,-76.0,-11.0,6.92,,,,
1c,-21.0,-91.0,-2.0,6.90,,,,
2,57.0,-22.0,19.0,6.66,46440,0.90,0.95,0.95
2a,54.0,2.0,4.0,6.39,,,,
2b,57.0,-31.0,28.0,6.08,,,,
2c,51.0,-10.0,13.0,5.95,,,,
3,-42.0,-10.0,10.0,6.17,24867,0.82,0.91,0.91
3a,-63.0,-34.0,16.0,5.98,,,,
3b,-45.0,-19.0,1.0,5.19,,,,
3c,-48.0,-34.0,22.0,5.02,,,,
4,3.0,-28.0,7.0,5.98,5157,0.62,0.73,0.62
4a,18.0,-34.0,10.0,5.03,,,,
5,-18.0,-25.0,28.0,5.91,1026,0.53,0.63,0.00
5a,-15.0,-7.0,25.0,4.49,,,,
6,0.0,-25.0,25.0,5.91,23598,0.82,0.91,0.91
6a,12.0,-25.0,40.0,5.36,,,,
6b,15.0,-61.0,34.0,5.24,,,,
6c,6.0,-73.0,37.0,5.04,,,,
7,9.0,26.0,-14.0,5.40,5643,0.51,0.72,0.65
7a,-3.0,26.0,-8.0,5.35,,,,
7b,0.0,14.0,1.0,5.03,,,,
7c,6.0,32.0,1.0,4.93,,,,
8,3.0,-34.0,4.0,5.32,675,0.32,0.44,0.00
8a,3.0,-43.0,10.0,4.12,,,,
9,-18.0,-34.0,61.0,5.20,6804,0.47,0.67,0.68
9a,-24.0,-37.0,55.0,4.83,,,,
9b,-15.0,-40.0,52.0,3.83,,,,
9c,-42.0,-43.0,58.0,3.66,,,,
10,-3.0,20.0,49.0,5.19,5967,0.48,0.66,0.64
10a,-9.0,20.0,40.0,4.78,,,,
11,-42.0,23.0,1.0,5.14,9963,0.62,0.78,0.78
11a,-39.0,26.0,-11.0,4.94,,,,
11b,-33.0,29.0,-2.0,4.92,,,,
11c,-54.0,35.0,10.0,4.83,,,,
12,21.0,-40.0,64.0,5.12,3105,0.34,0.52,0.39
12a,21.0,-28.0,64.0,5.06,,,,
12b,12.0,-46.0,58.0,4.09,,,,
13,57.0,35.0,10.0,5.10,13284,0.71,0.84,0.84
13a,45.0,14.0,25.0,4.98,,,,
13b,54.0,29.0,22.0,4.80,,,,
13c,42.0,32.0,-11.0,4.79,,,,
14,-63.0,-34.0,-20.0,4.95,2403,0.26,0.46,0.25
15,18.0,-52.0,-26.0,4.93,3294,0.27,0.49,0.39
15a,3.0,-64.0,-11.0,4.36,,,,
15b,9.0,-46.0,-17.0,3.83,,,,
16,3.0,-28.0,16.0,4.92,54,1.00,1.00,0.00
17,-45.0,-64.0,37.0,4.84,1323,0.08,0.18,0.00
18,-3.0,-31.0,13.0,4.82,27,1.00,1.00,0.00
19,-45.0,8.0,-35.0,4.78,2484,0.11,0.28,0.14
19a,-54.0,11.0,-29.0,4.38,,,,
19b,-30.0,5.0,-44.0,3.70,,,,
