Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,39.0,-19.0,61.0,11.87,16119,0.96,0.97,0.94
2,6.0,-28.0,73.0,11.55,32886,0.98,0.98,0.97
2a,6.0,-19.0,76.0,11.36,,,,
2b,-12.0,-46.0,67.0,7.73,,,,
2c,-12.0,-40.0,52.0,4.69,,,,
3,-15.0,-37.0,-23.0,9.64,4347,0.92,0.92,0.80
3a,-21.0,-31.0,-29.0,9.57,,,,
4,-18.0,-52.0,-20.0,9.51,4995,0.88,0.90,0.83
4a,-3.0,-64.0,-17.0,5.54,,,,
5,33.0,-22.0,16.0,7.50,5508,0.88,0.92,0.84
5a,48.0,-31.0,28.0,6.57,,,,
6,-48.0,-31.0,22.0,6.78,5832,0.87,0.91,0.85
6a,-33.0,-22.0,16.0,5.10,,,,
7,-45.0,5.0,1.0,6.45,7803,0.90,0.93,0.89
7a,-54.0,2.0,10.0,6.13,,,,
8,-3.0,-1.0,46.0,6.34,5373,0.86,0.90,0.84
9,21.0,-37.0,-23.0,6.05,1863,0.62,0.72,0.52
10,-15.0,-61.0,-50.0,5.82,621,0.70,0.70,0.00
11,-6.0,-67.0,-35.0,5.41,216,0.38,0.38,0.00
12,51.0,5.0,1.0,5.35,1755,0.62,0.75,0.51
13,36.0,11.0,10.0,4.96,432,0.19,0.19,0.00
14,6.0,-22.0,10.0,4.94,567,0.29,0.29,0.00
15,-39.0,-19.0,1.0,4.75,297,0.09,0.09,0.00
16,-3.0,-40.0,-11.0,4.74,27,1.00,0.00,0.00
17,-21.0,-40.0,-50.0,4.38,108,0.00,0.00,0.00
18,0.0,-67.0,-44.0,4.26,54,0.00,0.00,0.00
19,-27.0,-10.0,55.0,4.12,54,0.00,0.00,0.00
20,6.0,23.0,31.0,4.12,54,0.00,0.00,0.00
21,15.0,-31.0,43.0,4.08,81,0.00,0.00,0.00
22,-12.0,-31.0,43.0,4.04,27,0.00,0.00,0.00
