Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,39.0,-19.0,61.0,11.87,13905.0,515.0,1.0,1.0,0.95,1.0
2,6.0,-28.0,73.0,11.55,25299.0,937.0,1.0,1.0,0.97,1.0
2a,6.0,-19.0,76.0,11.36,,,,,,
2b,-12.0,-46.0,67.0,7.73,,,,,,
3,-15.0,-37.0,-23.0,9.64,3267.0,121.0,1.0,1.0,0.78,0.99
3a,-21.0,-31.0,-29.0,9.57,,,,,,
4,-18.0,-52.0,-20.0,9.51,3105.0,115.0,1.0,1.0,0.77,0.99
5,33.0,-22.0,16.0,7.5,378.0,14.0,1.0,1.0,0.0,0.93
6,-48.0,-31.0,22.0,6.78,2187.0,81.0,1.0,1.0,0.67,0.99
7,48.0,-31.0,28.0,6.57,1539.0,57.0,1.0,1.0,0.53,0.98
8,-45.0,5.0,1.0,6.45,3213.0,119.0,1.0,1.0,0.77,0.99
8a,-54.0,2.0,10.0,6.13,,,,,,
9,-3.0,-1.0,46.0,6.34,1674.0,62.0,1.0,1.0,0.56,0.98
10,21.0,-37.0,-23.0,6.05,513.0,19.0,1.0,1.0,0.0,0.95
11,-15.0,-61.0,-50.0,5.82,216.0,8.0,1.0,1.0,0.0,0.88
12,-3.0,-64.0,-17.0,5.54,162.0,6.0,1.0,1.0,0.0,0.83
13,-6.0,-67.0,-35.0,5.41,27.0,1.0,1.0,1.0,0.0,0.0
14,51.0,5.0,1.0,5.35,81.0,3.0,1.0,1.0,0.0,0.67
15,-33.0,-22.0,16.0,5.1,54.0,2.0,1.0,1.0,0.0,0.5
