Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-15.0,-91.0,-11.0,8.80,44901,0.88,0.93,0.97
1a,15.0,-94.0,1.0,7.91,,,,
1b,27.0,-73.0,-11.0,7.20,,,,
1c,-27.0,-52.0,-11.0,7.06,,,,
2,54.0,-64.0,4.0,7.79,29349,0.84,0.90,0.95
2a,45.0,-40.0,-17.0,7.43,,,,
2b,48.0,-49.0,-23.0,6.86,,,,
2c,45.0,-76.0,31.0,5.09,,,,
3,3.0,44.0,-23.0,7.06,6966,0.63,0.69,0.80
3a,9.0,53.0,-14.0,5.31,,,,
3b,0.0,32.0,-26.0,5.30,,,,
3c,-6.0,38.0,-11.0,5.30,,,,
4,-18.0,35.0,-17.0,6.69,6102,0.54,0.62,0.78
4a,-21.0,26.0,-20.0,6.14,,,,
4b,-15.0,14.0,-11.0,5.41,,,,
4c,-18.0,11.0,-2.0,4.07,,,,
5,-48.0,-67.0,13.0,6.64,23679,0.77,0.87,0.94
5a,-48.0,-76.0,7.0,5.88,,,,
5b,-45.0,-49.0,16.0,5.61,,,,
5c,-60.0,-31.0,34.0,5.51,,,,
6,-9.0,41.0,-26.0,5.77,351,0.46,0.46,0.00
7,-45.0,-40.0,-20.0,5.71,2646,0.40,0.41,0.50
8,-15.0,-70.0,31.0,5.63,6696,0.44,0.59,0.79
8a,3.0,-61.0,40.0,4.63,,,,
8b,12.0,-64.0,31.0,4.62,,,,
8c,18.0,-70.0,46.0,4.29,,,,
9,63.0,-22.0,34.0,5.07,3213,0.21,0.42,0.57
9a,60.0,-25.0,46.0,4.45,,,,
9b,66.0,-34.0,28.0,4.05,,,,
10,18.0,53.0,22.0,4.73,270,0.10,0.10,0.00
11,3.0,26.0,34.0,4.52,1215,0.00,0.00,0.00
11a,-9.0,32.0,31.0,4.26,,,,
12,39.0,-46.0,49.0,4.46,1566,0.00,0.00,0.16
12a,33.0,-46.0,43.0,4.25,,,,
12b,39.0,-37.0,43.0,3.97,,,,
13,-39.0,11.0,-5.0,4.42,2592,0.06,0.20,0.49
13a,-42.0,17.0,7.0,4.42,,,,
13b,-36.0,26.0,4.0,4.22,,,,
14,30.0,-28.0,-20.0,4.33,378,0.00,0.00,0.00
15,-3.0,-88.0,-38.0,4.22,405,0.00,0.00,0.00
16,6.0,41.0,46.0,4.13,216,0.00,0.00,0.00
17,45.0,38.0,10.0,4.12,378,0.00,0.00,0.00
18,9.0,-28.0,7.0,4.09,162,0.00,0.00,0.00
19,36.0,-58.0,61.0,4.02,135,0.00,0.00,0.00
20,-15.0,-73.0,-44.0,4.01,351,0.00,0.00,0.00
21,42.0,11.0,22.0,4.01,81,0.00,0.00,0.00
22,-51.0,-7.0,7.0,4.00,243,0.00,0.00,0.00
23,6.0,-82.0,13.0,3.97,216,0.00,0.00,0.00
24,-33.0,-76.0,40.0,3.92,81,0.00,0.00,0.00
25,24.0,2.0,-17.0,3.90,81,0.00,0.00,0.00
26,-6.0,5.0,-20.0,3.89,81,0.00,0.00,0.00
27,21.0,44.0,-23.0,3.89,54,0.00,0.00,0.00
28,15.0,-76.0,-50.0,3.87,162,0.00,0.00,0.00
29,-9.0,-46.0,40.0,3.83,486,0.00,0.00,0.00
30,12.0,29.0,25.0,3.78,54,0.00,0.00,0.00
31,6.0,14.0,7.0,3.73,54,0.00,0.00,0.00
32,0.0,-46.0,19.0,3.69,54,0.00,0.00,0.00
33,-3.0,-55.0,64.0,3.69,54,0.00,0.00,0.00
34,-60.0,-40.0,10.0,3.68,27,0.00,0.00,0.00
35,-9.0,41.0,25.0,3.67,54,0.00,0.00,0.00
36,-48.0,-19.0,4.0,3.65,27,0.00,0.00,0.00
37,63.0,-43.0,19.0,3.65,27,0.00,0.00,0.00
38,30.0,32.0,-11.0,3.60,27,0.00,0.00,0.00
39,21.0,-70.0,-50.0,3.58,27,0.00,0.00,0.00
40,-57.0,-1.0,-11.0,3.55,27,0.00,0.00,0.00
41,66.0,-43.0,22.0,3.54,27,0.00,0.00,0.00
42,-6.0,29.0,-17.0,3.53,27,0.00,0.00,0.00
43,-12.0,-82.0,-50.0,3.53,27,0.00,0.00,0.00
44,21.0,32.0,49.0,3.53,27,0.00,0.00,0.00
45,36.0,11.0,46.0,3.53,27,0.00,0.00,0.00
46,3.0,-22.0,28.0,3.52,27,0.00,0.00,0.00
47,21.0,35.0,46.0,3.52,27,0.00,0.00,0.00
48,-42.0,-1.0,-2.0,3.52,27,0.00,0.00,0.00
49,0.0,-13.0,40.0,3.52,27,0.00,0.00,0.00
50,3.0,-25.0,25.0,3.50,27,0.00,0.00,0.00
51,15.0,44.0,-26.0,3.50,27,0.00,0.00,0.00
