Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,-21.0,-97.0,-14.0,5.59,9828.0,364.0,0.26,0.41,0.49,0.39
1a,-18.0,-97.0,1.0,5.46,,,,,,
1b,-30.0,-94.0,-14.0,5.27,,,,,,
1c,-30.0,-85.0,-20.0,4.12,,,,,,
2,24.0,-40.0,-11.0,5.08,3024.0,112.0,0.08,0.17,0.06,0.19
2a,24.0,-52.0,-14.0,4.91,,,,,,
3,54.0,-64.0,1.0,4.85,5211.0,193.0,0.17,0.3,0.31,0.3
3a,51.0,-55.0,-2.0,4.81,,,,,,
4,18.0,-85.0,-5.0,4.51,8208.0,304.0,0.15,0.36,0.41,0.34
4a,21.0,-94.0,-2.0,4.47,,,,,,
4b,24.0,-91.0,-11.0,4.36,,,,,,
4c,33.0,-82.0,-17.0,3.73,,,,,,
5,-54.0,-76.0,7.0,4.44,1782.0,66.0,0.0,0.0,0.0,0.0
6,-27.0,-49.0,-5.0,4.12,1377.0,51.0,0.0,0.0,0.0,0.0
6a,-21.0,-52.0,-11.0,3.88,,,,,,
6b,-24.0,-40.0,-14.0,3.69,,,,,,
7,33.0,-79.0,16.0,3.99,459.0,17.0,0.0,0.0,0.0,0.0
8,-30.0,-85.0,19.0,3.99,783.0,29.0,0.0,0.0,0.0,0.0
9,45.0,-46.0,-23.0,3.97,351.0,13.0,0.0,0.0,0.0,0.0
10,-18.0,-58.0,16.0,3.49,54.0,2.0,0.0,0.0,0.0,0.0
11,-39.0,-37.0,-23.0,3.45,54.0,2.0,0.0,0.0,0.0,0.0
12,-9.0,-52.0,4.0,3.09,27.0,1.0,0.0,0.0,0.0,0.0
13,-18.0,-40.0,-11.0,3.07,27.0,1.0,0.0,0.0,0.0,0.0
14,33.0,-82.0,7.0,3.06,27.0,1.0,0.0,0.0,0.0,0.0
15,30.0,-31.0,-20.0,3.01,27.0,1.0,0.0,0.0,0.0,0.0
