Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,33.0,-85.0,7.0,6.90,3564,1.00,1.00,0.80
1a,39.0,-79.0,19.0,6.63,,,,
1b,45.0,-79.0,1.0,5.98,,,,
2,-27.0,-67.0,-8.0,6.70,540,1.00,1.00,0.00
3,30.0,-61.0,-14.0,6.55,837,1.00,1.00,0.13
3a,27.0,-70.0,-11.0,5.96,,,,
3b,33.0,-49.0,-8.0,5.63,,,,
4,-27.0,-88.0,19.0,6.18,243,1.00,1.00,0.00
5,-42.0,-85.0,10.0,5.95,189,1.00,1.00,0.00
6,-21.0,-82.0,-14.0,5.95,27,1.00,1.00,0.00
7,-33.0,-88.0,10.0,5.84,162,1.00,1.00,0.00
8,15.0,-100.0,10.0,5.78,54,1.00,1.00,0.00
9,-30.0,-76.0,-14.0,5.65,27,1.00,1.00,0.00
10,-36.0,-79.0,22.0,5.64,27,1.00,1.00,0.00
11,-36.0,-82.0,25.0,5.51,27,1.00,1.00,0.00
