Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,33.0,-85.0,7.0,6.90,10179,0.99,0.99,0.93
1a,39.0,-79.0,19.0,6.63,,,,
1b,45.0,-79.0,1.0,5.98,,,,
1c,15.0,-100.0,10.0,5.78,,,,
2,-27.0,-67.0,-8.0,6.70,4212,0.98,0.98,0.83
2a,-21.0,-82.0,-14.0,5.95,,,,
2b,-30.0,-76.0,-14.0,5.65,,,,
2c,-24.0,-46.0,-17.0,5.39,,,,
3,30.0,-61.0,-14.0,6.55,4320,0.98,0.98,0.83
3a,27.0,-70.0,-11.0,5.96,,,,
3b,33.0,-49.0,-8.0,5.63,,,,
3c,27.0,-79.0,-14.0,5.41,,,,
4,-27.0,-88.0,19.0,6.18,6318,0.99,0.99,0.88
4a,-42.0,-85.0,10.0,5.95,,,,
4b,-33.0,-88.0,10.0,5.84,,,,
4c,-36.0,-79.0,22.0,5.64,,,,
5,-48.0,-64.0,-8.0,5.46,729,0.93,0.93,0.00
5a,-42.0,-73.0,-17.0,4.77,,,,
6,-51.0,-79.0,10.0,4.97,135,0.60,0.60,0.00
7,-30.0,-31.0,-26.0,4.75,27,0.00,0.00,0.00
8,-36.0,-67.0,-20.0,4.71,54,0.00,0.00,0.00
9,-36.0,-43.0,-26.0,4.63,54,0.00,0.00,0.00
10,45.0,-55.0,-11.0,4.62,27,0.00,0.00,0.00
11,42.0,-55.0,-8.0,4.55,27,0.00,0.00,0.00
