Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,24.0,-94.0,7.0,6.91,7452,1.00,1.00,0.90
1a,27.0,-88.0,-2.0,6.81,,,,
2,-60.0,-28.0,19.0,6.54,5670,1.00,1.00,0.87
2a,-54.0,-25.0,31.0,6.32,,,,
2b,-57.0,-22.0,40.0,5.83,,,,
2c,-42.0,-28.0,37.0,5.45,,,,
3,-33.0,-43.0,61.0,6.37,2052,1.00,1.00,0.64
4,-24.0,-88.0,-8.0,6.12,6075,1.00,1.00,0.88
5,-18.0,-10.0,64.0,6.11,1188,1.00,1.00,0.39
6,51.0,-22.0,37.0,6.00,3591,1.00,1.00,0.80
6a,60.0,-31.0,31.0,5.75,,,,
6b,63.0,-25.0,37.0,5.66,,,,
6c,60.0,-19.0,19.0,5.46,,,,
7,-24.0,-52.0,-20.0,5.88,567,1.00,1.00,0.00
8,-42.0,-1.0,10.0,5.87,1107,1.00,1.00,0.34
8a,-33.0,-1.0,13.0,5.76,,,,
9,57.0,8.0,7.0,5.73,378,1.00,1.00,0.00
10,-54.0,-70.0,1.0,5.50,324,1.00,1.00,0.00
11,3.0,-91.0,34.0,5.42,27,1.00,1.00,0.00
12,-54.0,-31.0,55.0,5.40,108,1.00,1.00,0.00
13,-12.0,-52.0,64.0,5.39,432,1.00,1.00,0.00
13a,-21.0,-46.0,70.0,5.25,,,,
14,48.0,-52.0,49.0,5.38,324,1.00,1.00,0.00
15,-54.0,-4.0,49.0,5.29,54,1.00,1.00,0.00
16,-54.0,2.0,7.0,5.22,54,1.00,1.00,0.00
17,3.0,-28.0,28.0,5.21,135,1.00,1.00,0.00
18,-45.0,-61.0,43.0,5.18,162,1.00,1.00,0.00
19,33.0,-13.0,58.0,5.16,162,1.00,1.00,0.00
20,-48.0,-34.0,61.0,5.15,27,1.00,1.00,0.00
21,3.0,-97.0,22.0,5.14,81,1.00,1.00,0.00
22,57.0,-28.0,52.0,5.14,216,1.00,1.00,0.00
23,45.0,-43.0,61.0,5.08,27,1.00,1.00,0.00
24,3.0,-88.0,37.0,5.06,27,1.00,1.00,0.00
25,0.0,-55.0,70.0,5.01,54,1.00,1.00,0.00
