Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,27.0,-55.0,-11.0,8.88,6183,0.78,0.81,0.74
2,36.0,-79.0,13.0,7.54,10233,0.67,0.80,0.81
2a,24.0,-58.0,52.0,5.31,,,,
2b,30.0,-73.0,28.0,5.29,,,,
2c,27.0,-67.0,34.0,4.99,,,,
3,60.0,-64.0,16.0,7.50,52056,0.90,0.96,0.96
3a,21.0,-7.0,-17.0,7.08,,,,
3b,63.0,-46.0,16.0,6.82,,,,
3c,42.0,-55.0,-23.0,6.81,,,,
4,-27.0,-58.0,-11.0,6.94,4077,0.64,0.72,0.62
5,-21.0,-10.0,-20.0,6.91,54729,0.90,0.96,0.96
5a,-30.0,-4.0,-23.0,6.56,,,,
5b,-60.0,-49.0,16.0,6.51,,,,
5c,-42.0,-22.0,-26.0,6.15,,,,
6,-33.0,-85.0,16.0,6.59,12798,0.74,0.84,0.85
6a,-24.0,-61.0,52.0,5.74,,,,
6b,-24.0,-67.0,37.0,5.52,,,,
7,0.0,-58.0,28.0,6.06,11799,0.69,0.82,0.84
7a,-3.0,-52.0,40.0,5.92,,,,
8,36.0,-37.0,70.0,5.43,3969,0.37,0.53,0.52
8a,27.0,-40.0,73.0,5.27,,,,
8b,30.0,-28.0,61.0,4.43,,,,
9,-3.0,65.0,-11.0,4.95,2160,0.28,0.41,0.26
10,-9.0,47.0,40.0,4.66,4536,0.11,0.52,0.58
10a,-9.0,62.0,10.0,4.28,,,,
10b,-9.0,59.0,25.0,4.25,,,,
10c,-15.0,35.0,40.0,4.18,,,,
11,15.0,-28.0,1.0,4.64,594,0.00,0.09,0.00
12,6.0,-7.0,73.0,4.43,459,0.00,0.00,0.00
13,-39.0,14.0,55.0,4.33,432,0.00,0.00,0.00
14,-39.0,-7.0,64.0,4.33,1269,0.00,0.00,0.00
14a,-30.0,-10.0,70.0,4.25,,,,
15,21.0,-16.0,61.0,4.27,243,0.00,0.00,0.00
16,-24.0,-40.0,73.0,4.20,1242,0.00,0.00,0.00
16a,-24.0,-40.0,61.0,3.91,,,,
17,0.0,-13.0,55.0,4.18,999,0.00,0.00,0.00
18,33.0,-97.0,-8.0,4.06,351,0.00,0.00,0.00
19,-24.0,32.0,55.0,4.05,810,0.00,0.00,0.00
19a,-33.0,26.0,49.0,4.00,,,,
20,9.0,62.0,22.0,4.03,432,0.00,0.00,0.00
21,-42.0,-1.0,31.0,4.00,270,0.00,0.00,0.00
22,-60.0,-46.0,46.0,3.95,216,0.00,0.00,0.00
23,45.0,-4.0,16.0,3.77,216,0.00,0.00,0.00
24,-57.0,23.0,7.0,3.69,54,0.00,0.00,0.00
25,30.0,-7.0,70.0,3.68,81,0.00,0.00,0.00
26,-3.0,17.0,-17.0,3.67,54,0.00,0.00,0.00
27,-54.0,26.0,4.0,3.63,54,0.00,0.00,0.00
28,-39.0,26.0,-11.0,3.62,54,0.00,0.00,0.00
29,-45.0,-4.0,-29.0,3.61,27,0.00,0.00,0.00
30,9.0,-1.0,43.0,3.61,27,0.00,0.00,0.00
31,-54.0,-19.0,13.0,3.59,27,0.00,0.00,0.00
32,45.0,-67.0,46.0,3.59,108,0.00,0.00,0.00
33,-54.0,23.0,-5.0,3.59,54,0.00,0.00,0.00
34,-39.0,23.0,-14.0,3.55,27,0.00,0.00,0.00
35,-45.0,-22.0,7.0,3.55,27,0.00,0.00,0.00
36,39.0,-4.0,64.0,3.54,54,0.00,0.00,0.00
37,-57.0,-25.0,16.0,3.54,27,0.00,0.00,0.00
38,27.0,-100.0,-11.0,3.53,27,0.00,0.00,0.00
39,-36.0,5.0,-35.0,3.52,27,0.00,0.00,0.00
40,-30.0,-1.0,-35.0,3.52,27,0.00,0.00,0.00
41,-9.0,-28.0,1.0,3.51,27,0.00,0.00,0.00
42,27.0,-85.0,43.0,3.50,27,0.00,0.00,0.00
