Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,-36.0,-34.0,-20.0,6.01,25488.0,944.0,0.32,0.65,0.75,0.6
1a,-27.0,-43.0,-20.0,5.79,,,,,,
1b,-42.0,-46.0,-17.0,5.53,,,,,,
1c,-39.0,-55.0,-14.0,5.11,,,,,,
2,42.0,-58.0,-14.0,5.01,13959.0,517.0,0.13,0.43,0.56,0.39
2a,36.0,-49.0,-20.0,4.86,,,,,,
2b,54.0,-73.0,-8.0,4.7,,,,,,
2c,39.0,-28.0,-20.0,3.69,,,,,,
3,-33.0,35.0,-11.0,4.55,1026.0,38.0,0.0,0.0,0.0,0.03
3a,-42.0,35.0,-17.0,3.44,,,,,,
4,39.0,23.0,-5.0,4.55,4644.0,172.0,0.0,0.16,0.15,0.16
4a,48.0,17.0,4.0,4.36,,,,,,
4b,54.0,14.0,22.0,3.98,,,,,,
5,-15.0,-58.0,55.0,4.44,2673.0,99.0,0.0,0.01,0.0,0.03
6,-24.0,-13.0,-20.0,4.42,729.0,27.0,0.0,0.0,0.0,0.0
7,0.0,29.0,-20.0,4.24,2079.0,77.0,0.0,0.0,0.0,0.0
7a,6.0,38.0,-17.0,3.67,,,,,,
8,-9.0,-100.0,1.0,4.19,2943.0,109.0,0.0,0.0,0.0,0.0
9,-60.0,-52.0,4.0,4.13,999.0,37.0,0.0,0.0,0.0,0.0
10,42.0,35.0,25.0,4.1,756.0,28.0,0.0,0.0,0.0,0.0
11,27.0,-1.0,-14.0,3.83,1782.0,66.0,0.0,0.0,0.0,0.0
11a,24.0,-19.0,-14.0,3.78,,,,,,
11b,27.0,-10.0,-14.0,3.69,,,,,,
12,9.0,32.0,31.0,3.79,1512.0,56.0,0.0,0.0,0.0,0.0
12a,6.0,29.0,43.0,3.41,,,,,,
13,-6.0,-55.0,10.0,3.7,243.0,9.0,0.0,0.0,0.0,0.0
14,24.0,-82.0,-29.0,3.61,729.0,27.0,0.0,0.0,0.0,0.0
15,36.0,50.0,13.0,3.61,432.0,16.0,0.0,0.0,0.0,0.0
16,-27.0,-1.0,58.0,3.5,270.0,10.0,0.0,0.0,0.0,0.0
17,15.0,-73.0,52.0,3.49,1404.0,52.0,0.0,0.0,0.0,0.0
18,45.0,-49.0,46.0,3.44,567.0,21.0,0.0,0.0,0.0,0.0
18a,36.0,-55.0,49.0,3.23,,,,,,
19,-36.0,17.0,-5.0,3.43,270.0,10.0,0.0,0.0,0.0,0.0
20,18.0,-103.0,7.0,3.39,297.0,11.0,0.0,0.0,0.0,0.0
21,-18.0,-4.0,-8.0,3.38,270.0,10.0,0.0,0.0,0.0,0.0
22,15.0,-58.0,58.0,3.19,216.0,8.0,0.0,0.0,0.0,0.0
23,36.0,17.0,40.0,3.17,54.0,2.0,0.0,0.0,0.0,0.0
24,-39.0,-46.0,46.0,3.16,243.0,9.0,0.0,0.0,0.0,0.0
25,39.0,-10.0,67.0,3.16,162.0,6.0,0.0,0.0,0.0,0.0
26,-48.0,35.0,7.0,3.11,54.0,2.0,0.0,0.0,0.0,0.0
27,-51.0,-46.0,-5.0,3.04,27.0,1.0,0.0,0.0,0.0,0.0
28,24.0,14.0,61.0,3.01,27.0,1.0,0.0,0.0,0.0,0.0
