Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,36.0,-82.0,19.0,9.51,10881,1.00,1.00,0.93
1a,30.0,-67.0,31.0,6.40,,,,
2,-33.0,-88.0,10.0,9.45,34776,1.00,1.00,0.98
2a,0.0,-82.0,13.0,8.40,,,,
2b,15.0,-70.0,13.0,7.33,,,,
2c,-9.0,-91.0,25.0,6.97,,,,
3,27.0,-61.0,-11.0,9.29,4266,1.00,1.00,0.83
4,-30.0,-58.0,-8.0,8.23,5103,1.00,1.00,0.86
4a,-24.0,-49.0,-14.0,8.03,,,,
5,-42.0,-64.0,-2.0,8.07,2457,1.00,1.00,0.70
6,42.0,-46.0,-20.0,6.60,405,1.00,1.00,0.00
7,-9.0,47.0,-26.0,6.11,135,1.00,1.00,0.00
8,15.0,-76.0,28.0,5.75,162,1.00,1.00,0.00
9,-30.0,-76.0,-8.0,5.57,27,1.00,1.00,0.00
