Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),Number of Voxels,TDP (ARI),TDP (Notip),TDP (pARI),TDP (pARI1)
1,-33.0,-94.0,-17.0,5.63,7695.0,285.0,0.17,0.27,0.33,0.28
1a,-45.0,-79.0,-26.0,4.56,,,,,,
1b,-48.0,-61.0,-26.0,4.13,,,,,,
1c,-51.0,-64.0,-35.0,4.08,,,,,,
2,66.0,2.0,16.0,5.47,14877.0,551.0,0.2,0.43,0.56,0.41
2a,69.0,-22.0,10.0,4.67,,,,,,
2b,69.0,-10.0,13.0,4.59,,,,,,
2c,69.0,-28.0,13.0,4.43,,,,,,
3,-12.0,-82.0,-8.0,5.4,14445.0,535.0,0.27,0.49,0.59,0.46
3a,30.0,-73.0,-8.0,4.96,,,,,,
3b,-24.0,-61.0,-11.0,4.91,,,,,,
3c,30.0,-46.0,-11.0,4.64,,,,,,
4,-6.0,11.0,52.0,5.3,5238.0,194.0,0.14,0.3,0.32,0.32
4a,6.0,8.0,55.0,4.19,,,,,,
5,45.0,14.0,25.0,5.27,4563.0,169.0,0.24,0.31,0.28,0.33
5a,48.0,29.0,13.0,3.36,,,,,,
6,12.0,-43.0,-26.0,5.08,12555.0,465.0,0.05,0.33,0.49,0.29
6a,0.0,-64.0,-14.0,4.43,,,,,,
6b,3.0,-55.0,-11.0,4.26,,,,,,
6c,3.0,-16.0,-32.0,4.23,,,,,,
7,39.0,-73.0,4.0,5.0,6075.0,225.0,0.04,0.17,0.23,0.18
7a,39.0,-64.0,16.0,4.44,,,,,,
7b,30.0,-82.0,10.0,4.42,,,,,,
7c,27.0,-67.0,34.0,3.63,,,,,,
8,-63.0,-34.0,16.0,4.95,25812.0,956.0,0.3,0.64,0.75,0.59
8a,-63.0,-10.0,13.0,4.9,,,,,,
8b,-27.0,-19.0,4.0,4.85,,,,,,
8c,-57.0,-19.0,7.0,4.68,,,,,,
9,36.0,-94.0,-8.0,4.75,6507.0,241.0,0.08,0.17,0.19,0.19
9a,48.0,-70.0,-32.0,3.96,,,,,,
9b,45.0,-70.0,-23.0,3.92,,,,,,
9c,33.0,-82.0,-29.0,3.77,,,,,,
10,12.0,-46.0,1.0,4.54,1485.0,55.0,0.0,0.04,0.0,0.05
11,15.0,56.0,19.0,4.52,891.0,33.0,0.0,0.0,0.0,0.0
12,3.0,-25.0,52.0,4.51,702.0,26.0,0.0,0.0,0.0,0.0
13,54.0,-22.0,58.0,4.4,1323.0,49.0,0.0,0.0,0.0,0.0
14,30.0,-1.0,-5.0,4.26,810.0,30.0,0.0,0.0,0.0,0.0
14a,30.0,-10.0,-5.0,3.84,,,,,,
15,-51.0,-37.0,55.0,4.21,1323.0,49.0,0.0,0.0,0.0,0.0
16,-39.0,26.0,19.0,4.18,999.0,37.0,0.0,0.0,0.0,0.0
17,-21.0,62.0,16.0,4.06,1215.0,45.0,0.0,0.0,0.0,0.0
18,-36.0,2.0,13.0,3.94,351.0,13.0,0.0,0.0,0.0,0.0
