Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-15.0,-91.0,-11.0,8.80,56916,0.70,0.82,0.88
1a,15.0,-94.0,1.0,7.91,,,,
1b,27.0,-73.0,-11.0,7.20,,,,
1c,-27.0,-52.0,-11.0,7.06,,,,
2,54.0,-64.0,4.0,7.79,41337,0.66,0.78,0.84
2a,45.0,-40.0,-17.0,7.43,,,,
2b,48.0,-49.0,-23.0,6.86,,,,
2c,45.0,-76.0,31.0,5.09,,,,
3,3.0,44.0,-23.0,7.06,17658,0.50,0.61,0.69
3a,-18.0,35.0,-17.0,6.69,,,,
3b,-21.0,26.0,-20.0,6.14,,,,
3c,-15.0,14.0,-11.0,5.41,,,,
4,-48.0,-67.0,13.0,6.64,34263,0.53,0.72,0.80
4a,-48.0,-76.0,7.0,5.88,,,,
4b,-45.0,-49.0,16.0,5.61,,,,
4c,-60.0,-31.0,34.0,5.51,,,,
5,-9.0,41.0,-26.0,5.77,513,0.32,0.32,0.00
6,-45.0,-40.0,-20.0,5.71,4050,0.26,0.32,0.27
7,-15.0,-70.0,31.0,5.63,13284,0.23,0.39,0.53
7a,3.0,-61.0,40.0,4.63,,,,
7b,12.0,-64.0,31.0,4.62,,,,
7c,18.0,-70.0,46.0,4.29,,,,
8,18.0,53.0,22.0,4.73,729,0.04,0.04,0.00
9,3.0,26.0,34.0,4.52,4050,0.00,0.00,0.00
9a,-9.0,32.0,31.0,4.26,,,,
9b,6.0,41.0,46.0,4.13,,,,
9c,12.0,29.0,25.0,3.78,,,,
10,39.0,-46.0,49.0,4.46,3969,0.00,0.03,0.02
10a,33.0,-46.0,43.0,4.25,,,,
10b,36.0,-58.0,61.0,4.02,,,,
10c,39.0,-37.0,43.0,3.97,,,,
11,-39.0,11.0,-5.0,4.42,4887,0.03,0.15,0.19
11a,-42.0,17.0,7.0,4.42,,,,
11b,-36.0,26.0,4.0,4.22,,,,
11c,-33.0,5.0,-17.0,3.38,,,,
12,30.0,-28.0,-20.0,4.33,702,0.00,0.00,0.00
13,-3.0,-88.0,-38.0,4.22,2322,0.00,0.00,0.00
13a,-15.0,-73.0,-44.0,4.01,,,,
13b,-12.0,-82.0,-50.0,3.53,,,,
14,45.0,38.0,10.0,4.12,1080,0.00,0.00,0.00
15,9.0,-28.0,7.0,4.09,459,0.00,0.00,0.00
16,42.0,11.0,22.0,4.01,270,0.00,0.00,0.00
17,-51.0,-7.0,7.0,4.00,1188,0.00,0.00,0.00
17a,-48.0,-19.0,4.0,3.65,,,,
18,24.0,2.0,-17.0,3.90,351,0.00,0.00,0.00
19,-6.0,5.0,-20.0,3.89,189,0.00,0.00,0.00
20,15.0,-76.0,-50.0,3.87,486,0.00,0.00,0.00
21,6.0,14.0,7.0,3.73,162,0.00,0.00,0.00
22,0.0,-46.0,19.0,3.69,513,0.00,0.00,0.00
22a,-6.0,-46.0,10.0,3.34,,,,
23,-3.0,-55.0,64.0,3.69,297,0.00,0.00,0.00
24,30.0,32.0,-11.0,3.60,54,0.00,0.00,0.00
25,-57.0,-1.0,-11.0,3.55,108,0.00,0.00,0.00
26,21.0,32.0,49.0,3.53,216,0.00,0.00,0.00
27,36.0,11.0,46.0,3.53,378,0.00,0.00,0.00
28,3.0,-22.0,28.0,3.52,378,0.00,0.00,0.00
29,-42.0,-1.0,-2.0,3.52,54,0.00,0.00,0.00
