Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3),TDP (ARI),TDP (Notip),TDP (pARI)
1,-21.0,-97.0,-14.0,5.59,1674,0.95,0.97,0.56
1a,-18.0,-97.0,1.0,5.46,,,,
1b,-30.0,-94.0,-14.0,5.27,,,,
2,24.0,-40.0,-11.0,5.08,162,0.67,0.67,0.00
3,24.0,-52.0,-14.0,4.91,27,1.00,0.00,0.00
4,54.0,-64.0,1.0,4.85,162,0.67,0.67,0.00
5,51.0,-55.0,-2.0,4.81,27,1.00,0.00,0.00
6,54.0,-55.0,-5.0,4.78,27,1.00,0.00,0.00
7,21.0,-37.0,-14.0,4.54,27,0.00,0.00,0.00
8,51.0,-70.0,-2.0,4.51,27,0.00,0.00,0.00
9,18.0,-85.0,-5.0,4.51,27,0.00,0.00,0.00
